publicationId,publicationSeqNo,issn,eissn,publicationTitle,publicationTitle20,publicationTitleISO,publicationFrequency,issuesPerYear,submissionURL,openAccess,country,publicationStartYear,publisherName,publisherAddress,publisherCode,publisherURL
84307,D2783J,2053-1583,2053-1583,2D MATERIALS,2D MATER,2D Mater.,Q,4,https://mc04.manuscriptcentral.com/2dm-iop,FALSE,ENGLAND,2014,IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",NW493,http://www.iop.org
84308,D2794J,2190-572X,2190-5738,3 BIOTECH,3 BIOTECH,3 Biotech,C,1,http://www.editorialmanager.com/bitc/default.aspx,FALSE,GERMANY,2011,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",ZX651,http://www.springer.com
84312,D6007J,2329-7662,2329-7670,3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,3D Print. Addit. Manuf.,Q,4,http://mc.manuscriptcentral.com/3dp,FALSE,UNITED STATES OF AMERICA,2014,"MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",PZ785,http://www.liebertpub.com/
84316,C7466J,1619-4500,1614-2411,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,4OR-Q. J. Oper. Res.,Q,4,https://www.editorialmanager.com/forj/,FALSE,GERMANY,2003,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",ZX651,http://www.springer.com
84324,00014J,0149-1423,1558-9153,AAPG BULLETIN,AAPG BULL,AAPG Bull.,M,12,https://www.rapidreview.com/AAPG2/CALogon.jsp,FALSE,UNITED STATES OF AMERICA,1918,AMER ASSOC PETROLEUM GEOLOGIST,"1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604",BH501,http://www.aapg.org
84325,C5767J,1550-7416,1550-7416,AAPS JOURNAL,AAPS J,AAPS J.,Q,4,http://www.editorialmanager.com/aapsj/,FALSE,UNITED STATES OF AMERICA,2004,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
84326,C2023J,1530-9932,1530-9932,AAPS PHARMSCITECH,AAPS PHARMSCITECH,AAPS PharmSciTech,C,1,http://www.editorialmanager.com/aapspt/,FALSE,UNITED STATES OF AMERICA,2000,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
84329,D4537J,2330-5517,2330-5517,AATCC JOURNAL OF RESEARCH,AATCC J RES,AATCC J. Res.,B,6,https://www.aatcc.org/pub/aatcc-review/submissionguidelines/,FALSE,UNITED STATES OF AMERICA,2014,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,"1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709",BL287,http://www.aatcc.org/
84330,13529J,1532-8813,1532-8813,AATCC REVIEW,AATCC REV,AATCC Rev.,B,6,,,UNITED STATES OF AMERICA,2001,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,"1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709",BL287,http://www.aatcc.org/
84338,D5946J,2366-004X,2366-0058,ABDOMINAL RADIOLOGY,ABDOM RADIOL,Abdom. Radiol.,M,12,,,UNITED STATES OF AMERICA,2016,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
84341,03637J,0025-5858,1865-8784,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,Abh. Math. Semin. Univ. Hamburg,H,2,,,GERMANY,1922,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",ZX651,http://www.springer.com
84355,00044J,0065-7727,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,H,2,,,UNITED STATES OF AMERICA,,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",,http://pubs.acs.org
84360,11382J,1069-6563,1553-2712,ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,Acad. Emerg. Med.,M,12,http://mc.manuscriptcentral.com/aemj,FALSE,UNITED STATES OF AMERICA,1994,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",FL501,http://www.wiley.com/WileyCDA/
84362,07658J,1040-2446,1938-808X,ACADEMIC MEDICINE,ACAD MED,Acad. Med.,M,12,http://www.editorialmanager.com/acadmed/,FALSE,UNITED STATES OF AMERICA,1989,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
84364,C9916J,1876-2859,1876-2867,ACADEMIC PEDIATRICS,ACAD PEDIATR,Acad. Pediatr.,B,6,http://ees.elsevier.com/academicpeds/,FALSE,UNITED STATES OF AMERICA,1964,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",JM501,http://www.elsevier.com
84366,11219J,1076-6332,1878-4046,ACADEMIC RADIOLOGY,ACAD RADIOL,Acad. Radiol.,M,12,http://ees.elsevier.com/arad/,FALSE,UNITED STATES OF AMERICA,1994,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",JM501,http://www.elsevier.com
84379,00059J,0044-586X,2107-7207,ACAROLOGIA,ACAROLOGIA,Acarologia,Q,4,http://www1.montpellier.inra.fr/cbgp/acarologia/instructions.php,FALSE,FRANCE,1959,ACAROLOGIA-UNIVERSITE PAUL VALERY,"SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090",AJ530,http://publications.univ-montp3.fr
84382,D0034J,0898-9621,1545-5815,ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,ACCOUNT RES,Account. Res.,B,8,http://mc.manuscriptcentral.com/air,FALSE,UNITED STATES OF AMERICA,1989,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",ZA463,http://www.tandfonline.com/
84398,00088J,0001-4842,1520-4898,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,Accounts Chem. Res.,M,12,https://acs.manuscriptcentral.com/acs,FALSE,UNITED STATES OF AMERICA,1968,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",BO001,http://pubs.acs.org
84399,12213J,0949-1775,1432-0517,ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,Accredit. Qual. Assur.,B,6,https://www.editorialmanager.com/acqa/default.asp,FALSE,GERMANY,1996,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
84403,07159J,0889-325X,1944-737X,ACI MATERIALS JOURNAL,ACI MATER J,ACI Mater. J.,B,6,http://mc.manuscriptcentral.com/aci,FALSE,UNITED STATES OF AMERICA,1987,AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",BS126,http://www.concrete.org
84404,07160J,0889-3241,1944-7361,ACI STRUCTURAL JOURNAL,ACI STRUCT J,ACI Struct. J.,B,6,http://mc.manuscriptcentral.com/aci,FALSE,UNITED STATES OF AMERICA,1987,AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",BS126,http://www.concrete.org
84406,10785J,0360-0300,1557-7341,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ACM Comput. Surv.,Q,4,http://mc.manuscriptcentral.com/acm,FALSE,UNITED STATES OF AMERICA,1969,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84408,D2873J,1556-4673,1556-4711,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,ACM J. Comput. Cult. Herit.,Q,4,,,UNITED STATES OF AMERICA,2008,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84409,C9285J,1550-4832,1550-4840,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,ACM J. Emerg. Technol. Comput. Syst.,Q,4,http://mc.manuscriptcentral.com/acm,FALSE,UNITED STATES OF AMERICA,2005,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84410,13273J,0146-4833,1943-5819,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,ACM SIGCOMM Comp. Commun. Rev.,Q,4,https://sigcomm-ccr.hotcrp.com/,FALSE,UNITED STATES OF AMERICA,1971,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84412,C9286J,1549-6325,1549-6333,ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,ACM Trans. Algorithms,Q,4,http://mc.manuscriptcentral.com/talg,FALSE,UNITED STATES OF AMERICA,2005,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84413,C9353J,1544-3558,1544-3965,ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,ACM Trans. Appl. Percept.,Q,4,http://mc.manuscriptcentral.com/tap,FALSE,UNITED STATES OF AMERICA,2004,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84414,C7597J,1544-3566,1544-3973,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,ACM Trans. Archit. Code Optim.,Q,4,http://mc.manuscriptcentral.com/acm,FALSE,UNITED STATES OF AMERICA,2004,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84415,D5674J,2375-4699,2375-4702,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,ACM Trans. Asian Low-Resour. Lang. Inf. Process.,Q,4,,,UNITED STATES OF AMERICA,2015,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84416,C9330J,1556-4665,1556-4703,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,ACM Trans. Auton. Adapt. Syst.,Q,4,http://mc.manuscriptcentral.com/taas,FALSE,UNITED STATES OF AMERICA,2006,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84418,C6942J,1529-3785,1557-945X,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,ACM Trans. Comput. Log.,Q,4,http://mc.manuscriptcentral.com/tocl,FALSE,UNITED STATES OF AMERICA,2000,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84420,C7771J,1073-0516,1557-7325,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,ACM Trans. Comput.-Hum. Interact.,B,6,http://mc.manuscriptcentral.com/tochi,FALSE,UNITED STATES OF AMERICA,1993,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84419,04795J,0734-2071,1557-7333,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,ACM Trans. Comput. Syst.,Q,4,,,UNITED STATES OF AMERICA,1983,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84421,D3451J,1946-6226,1946-6226,ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,ACM Trans. Comput. Educ.,Q,4,https://mc.manuscriptcentral.com/toce,FALSE,UNITED STATES OF AMERICA,2001,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84423,03624J,0362-5915,1557-4644,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,ACM Trans. Database Syst.,Q,4,http://mc.manuscriptcentral.com/tods,FALSE,UNITED STATES OF AMERICA,1976,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84424,13307J,1084-4309,1557-7309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,ACM Transact. Des. Automat. Electron. Syst.,B,6,http://mc.manuscriptcentral.com/todaes,FALSE,UNITED STATES OF AMERICA,1996,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84426,C8124J,1539-9087,1558-3465,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,ACM Trans. Embed. Comput. Syst.,B,6,http://mc.manuscriptcentral.com/acm,FALSE,UNITED STATES OF AMERICA,2002,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84427,04191J,0730-0301,1557-7368,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,ACM Trans. Graph.,B,6,http://mc.manuscriptcentral.com/tog,FALSE,UNITED STATES OF AMERICA,1982,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84429,09068J,1046-8188,1558-2868,ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,ACM Trans. Inf. Syst.,Q,4,http://mc.manuscriptcentral.com/tois,FALSE,UNITED STATES OF AMERICA,1989,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84430,D1486J,2157-6904,2157-6912,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,ACM Trans. Intell. Syst. Technol.,B,6,https://mc.manuscriptcentral.com/tist,FALSE,UNITED STATES OF AMERICA,2010,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84431,D3254J,2160-6455,2160-6463,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,,,Q,4,,,UNITED STATES OF AMERICA,,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",,http://www.acm.org
84432,C7899J,1533-5399,1557-6051,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,ACM Trans. Internet. Technol.,Q,4,http://mc.manuscriptcentral.com/acm/toit,FALSE,UNITED STATES OF AMERICA,2001,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84433,D0958J,1556-4681,1556-472X,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,ACM Trans. Knowl. Discov. Data,Q,4,http://mc.manuscriptcentral.com/tkdd,FALSE,UNITED STATES OF AMERICA,2007,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
84435,03259J,0098-3500,1557-7295,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ACM Trans. Math. Softw.,Q,4,http://mc.manuscriptcentral.com/toms,FALSE,UNITED STATES OF AMERICA,1971,ASSOC COMPUTING MACHINERY,"2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",EH001,http://www.acm.org
