Journal title,search title,search id,search hash,matched,suggestions
Accounting Review,,,,2.0,"{""suggestions"": [{""value"": ""The Accounting Review"", ""data"": {""id"": ""jour.1121992"", ""title"": ""The Accounting Review"", ""hash"": ""fa599832fc20386880416d96f8974f1cb0cfe9ea""}}, {""value"": ""Review of Quantitative Finance and Accounting"", ""data"": {""id"": ""jour.1136353"", ""title"": ""Review of Quantitative Finance and Accounting"", ""hash"": ""1bc8249a661712001070a8a3fe2f28608a47afa1""}}, {""value"": ""The British Accounting Review"", ""data"": {""id"": ""jour.1138400"", ""title"": ""The British Accounting Review"", ""hash"": ""bb551de0c8ea3ec663c019260acfcc5fa83a4961""}}, {""value"": ""European Accounting Review"", ""data"": {""id"": ""jour.1138581"", ""title"": ""European Accounting Review"", ""hash"": ""d7c390a12fa82b43c77017cdb219effe121837cc""}}, {""value"": ""Australian Accounting Review"", ""data"": {""id"": ""jour.1139410"", ""title"": ""Australian Accounting Review"", ""hash"": ""f2328515199594d7d4d4f92ef6313e4138f9b47b""}}, {""value"": ""Review of Accounting Studies"", ""data"": {""id"": ""jour.1136096"", ""title"": ""Review of Accounting Studies"", ""hash"": ""6dfb26b09cdeb897233f29425a9c26f29d6a80ad""}}, {""value"": ""Accounting History Review"", ""data"": {""id"": ""jour.1140965"", ""title"": ""Accounting History Review"", ""hash"": ""6a14429b4e04c48884c30a844f4c90e0959e4c1a""}}, {""value"": ""Korea International Accounting Review"", ""data"": {""id"": ""jour.1320795"", ""title"": ""Korea International Accounting Review"", ""hash"": ""9a67f32b4d93ed440471db068fe2b74e6e980660""}}, {""value"": ""Asian Review of Accounting"", ""data"": {""id"": ""jour.1142605"", ""title"": ""Asian Review of Accounting"", ""hash"": ""c39278091302c7678e68eec7810ccb7b28da6a2e""}}, {""value"": ""Review of Accounting and Finance"", ""data"": {""id"": ""jour.1142370"", ""title"": ""Review of Accounting and Finance"", ""hash"": ""77cdf3351d21cbc6c6a1627f1fc6305dd58a1815""}}, {""value"": ""Pacific Accounting Review"", ""data"": {""id"": ""jour.1142811"", ""title"": ""Pacific Accounting Review"", ""hash"": ""5890c450d381c5ab69f6ac85f75803f99376ea10""}}, {""value"": ""The Indonesian Accounting Review"", ""data"": {""id"": ""jour.1149688"", ""title"": ""The Indonesian Accounting Review"", ""hash"": ""c320c371105c5d131931b70db022a33ebefb72f0""}}, {""value"": ""China Accounting and Finance Review"", ""data"": {""id"": ""jour.1151571"", ""title"": ""China Accounting and Finance Review"", ""hash"": ""0338c80fa23e7c4d73b6e822dd1aaa27f89a38a7""}}, {""value"": ""Accounting Information Review"", ""data"": {""id"": ""jour.1299076"", ""title"": ""Accounting Information Review"", ""hash"": ""f1ad5e72d2393ba11cb69b03d842afe4fd1f4abd""}}, {""value"": ""Global Review of Accounting and Finance"", ""data"": {""id"": ""jour.1150866"", ""title"": ""Global Review of Accounting and Finance"", ""hash"": ""2c1051e1108f41d0ebd61cd73babc22c2384b88a""}}, {""value"": ""Korean Accounting Review"", ""data"": {""id"": ""jour.1299323"", ""title"": ""Korean Accounting Review"", ""hash"": ""b8b9148c4eeb6748c8323935433aed70beeb17e0""}}, {""value"": ""Korean Governmental Accounting Review"", ""data"": {""id"": ""jour.1156673"", ""title"": ""Korean Governmental Accounting Review"", ""hash"": ""54a0ac59a163994627ecc929fb9a5b198d1b427c""}}, {""value"": ""The Japanese Accounting Review"", ""data"": {""id"": ""jour.1154544"", ""title"": ""The Japanese Accounting Review"", ""hash"": ""6c0ca51deee45d63f6197e62e9c15db805970aa3""}}, {""value"": ""European Accounting and Management Review"", ""data"": {""id"": ""jour.1299171"", ""title"": ""European Accounting and Management Review"", ""hash"": ""8e39fb951f6595735a61270c68638a78e91a4f83""}}, {""value"": ""Review of Accounting and Policy Studies"", ""data"": {""id"": ""jour.1365834"", ""title"": ""Review of Accounting and Policy Studies"", ""hash"": ""9b7869b37e8f3969713bbc7c6e227a7aaa1c3070""}}, {""value"": ""SAR (Soedirman Accounting Review) Journal of Accounting and Business"", ""data"": {""id"": ""jour.1319243"", ""title"": ""SAR (Soedirman Accounting Review) Journal of Accounting and Business"", ""hash"": ""36ef1994bfaa2fb715853a8fae33ae14e348ed6c""}}, {""value"": ""Algerian Review of Studies in Accounting and Financial"", ""data"": {""id"": ""jour.1338483"", ""title"": ""Algerian Review of Studies in Accounting and Financial"", ""hash"": ""ee554260fb4d1c999411a5cea1255daeff9f0007""}}, {""value"": ""UNIMAS Review of Accounting and Finance"", ""data"": {""id"": ""jour.1367409"", ""title"": ""UNIMAS Review of Accounting and Finance"", ""hash"": ""76727c1ff8058b34379faa21167e727d82b0e45f""}}, {""value"": ""AFRE (Accounting and Financial Review)"", ""data"": {""id"": ""jour.1338506"", ""title"": ""AFRE (Accounting and Financial Review)"", ""hash"": ""ea00f2170351b5bd0824f36517f11a1fc9defe28""}}]}"
"Accounting, Organizations and Society",,,,2.0,"{""suggestions"": [{""value"": ""Accounting Organizations and Society"", ""data"": {""id"": ""jour.1051439"", ""title"": ""Accounting Organizations and Society"", ""hash"": ""99c8ccc70010d5f8b58746db6b69fdb963324b0a""}}]}"
Journal of Accounting and Economics,Journal of Accounting and Economics,jour.1138469,ad7e94b7a098885a172bb9992424af5ec3fc5d8a,1.0,"{""suggestions"": [{""value"": ""Journal of Accounting and Economics"", ""data"": {""id"": ""jour.1138469"", ""title"": ""Journal of Accounting and Economics"", ""hash"": ""ad7e94b7a098885a172bb9992424af5ec3fc5d8a""}}, {""value"": ""Asian Journal of Economics Business and Accounting"", ""data"": {""id"": ""jour.1298524"", ""title"": ""Asian Journal of Economics Business and Accounting"", ""hash"": ""ad11c33f8f8b4094169e250e0fc6bd3e0f24e32a""}}, {""value"": ""International Journal of Economics and Accounting"", ""data"": {""id"": ""jour.1146599"", ""title"": ""International Journal of Economics and Accounting"", ""hash"": ""d2252707db0f795842c2074dd8921e1a17f09322""}}, {""value"": ""International Journal of Accounting and Economics Studies"", ""data"": {""id"": ""jour.1290875"", ""title"": ""International Journal of Accounting and Economics Studies"", ""hash"": ""883da03792030b8f7c30bdfa32a63edff514254f""}}, {""value"": ""Journal of Accounting Research Organization and Economics"", ""data"": {""id"": ""jour.1367554"", ""title"": ""Journal of Accounting Research Organization and Economics"", ""hash"": ""85cefbcee26395a35953a20cb90f797eb13f6153""}}, {""value"": ""Journal of Management Accounting and Economics"", ""data"": {""id"": ""jour.1300983"", ""title"": ""Journal of Management Accounting and Economics"", ""hash"": ""857431cad1bb630d8c658eeb5574768e5bf15406""}}, {""value"": ""International Journal of Applied Economics Finance and Accounting"", ""data"": {""id"": ""jour.1365359"", ""title"": ""International Journal of Applied Economics Finance and Accounting"", ""hash"": ""cb3cc1bc9dbe150d5186032d9c1ad7456251850f""}}, {""value"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""data"": {""id"": ""jour.1338289"", ""title"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""hash"": ""3bbd293a754ae37a48a078673a47089ff5584de2""}}, {""value"": ""Journal of Accounting Management and Economics"", ""data"": {""id"": ""jour.1320790"", ""title"": ""Journal of Accounting Management and Economics"", ""hash"": ""6eaabbf3fc6348d3e936e0e474a7360b114f19d2""}}, {""value"": ""Journal of Behavioural Economics Finance Entrepreneurship Accounting and Transport"", ""data"": {""id"": ""jour.1301794"", ""title"": ""Journal of Behavioural Economics Finance Entrepreneurship Accounting and Transport"", ""hash"": ""5c7006bd7738af06dff0b00a1b1ac4d7e0893902""}}]}"
Journal of Accounting Research,Journal of Accounting Research,jour.1137699,ab1ca8ac0dcd6bf729c86801fd638895f0f0b892,1.0,"{""suggestions"": [{""value"": ""Journal of Accounting Research"", ""data"": {""id"": ""jour.1137699"", ""title"": ""Journal of Accounting Research"", ""hash"": ""ab1ca8ac0dcd6bf729c86801fd638895f0f0b892""}}, {""value"": ""Journal of Management Accounting Research"", ""data"": {""id"": ""jour.1143364"", ""title"": ""Journal of Management Accounting Research"", ""hash"": ""ce1ee2896f56b3bc9518562b13e2399d2950f3b6""}}, {""value"": ""Journal of International Accounting Research"", ""data"": {""id"": ""jour.1144031"", ""title"": ""Journal of International Accounting Research"", ""hash"": ""e6de8f0cbc9ebd50014315b2483bebc859b7833d""}}, {""value"": ""Journal of Applied Accounting Research"", ""data"": {""id"": ""jour.1144519"", ""title"": ""Journal of Applied Accounting Research"", ""hash"": ""8971c0659974e75e10f494d41cbf269fb876508b""}}, {""value"": ""International Journal of Academic Research in Accounting Finance and Management Sciences"", ""data"": {""id"": ""jour.1146916"", ""title"": ""International Journal of Academic Research in Accounting Finance and Management Sciences"", ""hash"": ""305add1859b5a9c9ea25df45d879f305758a9b0f""}}, {""value"": ""South African Journal of Accounting Research"", ""data"": {""id"": ""jour.1145463"", ""title"": ""South African Journal of Accounting Research"", ""hash"": ""5b283ae2772a615535c977ec59b70b96dd32d4f4""}}, {""value"": ""China Journal of Accounting Research"", ""data"": {""id"": ""jour.1147133"", ""title"": ""China Journal of Accounting Research"", ""hash"": ""65c5971e9919f2b132bd2d78549128007a568bb5""}}, {""value"": ""Journal of Islamic Accounting and Business Research"", ""data"": {""id"": ""jour.1148413"", ""title"": ""Journal of Islamic Accounting and Business Research"", ""hash"": ""1d592bbd9306bb1aee0eae71a856b30c4581f8a6""}}, {""value"": ""International Journal of Accounting Research"", ""data"": {""id"": ""jour.1297978"", ""title"": ""International Journal of Accounting Research"", ""hash"": ""63f4ca9cd3a280784c963090988a150db682e1dc""}}, {""value"": ""Korean Journal of Accounting Research"", ""data"": {""id"": ""jour.1298643"", ""title"": ""Korean Journal of Accounting Research"", ""hash"": ""b8034813e1c063b7d746fa0b8e1af9aa231d5216""}}, {""value"": ""The International Journal of Digital Accounting Research"", ""data"": {""id"": ""jour.1148070"", ""title"": ""The International Journal of Digital Accounting Research"", ""hash"": ""d35be3897596134df7ffe81429c800115dee48dd""}}, {""value"": ""Journal of Research and Applications Accounting and Management"", ""data"": {""id"": ""jour.1158021"", ""title"": ""Journal of Research and Applications Accounting and Management"", ""hash"": ""d632808c429dc9c4e63bee2c705ac54dacbc9f48""}}, {""value"": ""Journal of Accounting Research Organization and Economics"", ""data"": {""id"": ""jour.1367554"", ""title"": ""Journal of Accounting Research Organization and Economics"", ""hash"": ""85cefbcee26395a35953a20cb90f797eb13f6153""}}, {""value"": ""Journal of Forensic Accounting Research"", ""data"": {""id"": ""jour.1159303"", ""title"": ""Journal of Forensic Accounting Research"", ""hash"": ""62224566e09a104a2d27bbfbce5459b34a74fdb6""}}, {""value"": ""Journal of Accounting Business and Finance Research"", ""data"": {""id"": ""jour.1300449"", ""title"": ""Journal of Accounting Business and Finance Research"", ""hash"": ""2ef2bd94a0947914ae9d3a862d8506bc9ecc142d""}}, {""value"": ""The Indonesian Journal of Accounting Research"", ""data"": {""id"": ""jour.1366303"", ""title"": ""The Indonesian Journal of Accounting Research"", ""hash"": ""e46f645d66d125ac9e5353e508e539a305853292""}}, {""value"": ""Asian Journal of Accounting Research"", ""data"": {""id"": ""jour.1301330"", ""title"": ""Asian Journal of Accounting Research"", ""hash"": ""8636aeeaffe6d89954adbb7f51d2ff148d505875""}}, {""value"": ""Journal of Accounting and Auditing Research & Practice"", ""data"": {""id"": ""jour.1154482"", ""title"": ""Journal of Accounting and Auditing Research & Practice"", ""hash"": ""7f557250d2e03b628e3df741589fef27e32d3af3""}}, {""value"": ""Journal of Commerce and Accounting Research"", ""data"": {""id"": ""jour.1291418"", ""title"": ""Journal of Commerce and Accounting Research"", ""hash"": ""e799f927756ac29f57276faa779765f791dd4725""}}, {""value"": ""KOREAN JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH"", ""data"": {""id"": ""jour.1337405"", ""title"": ""KOREAN JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH"", ""hash"": ""cdaeb158b8bcd3ace60a2d9eadff37833a87a40b""}}, {""value"": ""International Journal of Accounting and Financial Management Research"", ""data"": {""id"": ""jour.1300850"", ""title"": ""International Journal of Accounting and Financial Management Research"", ""hash"": ""ee79a99ba7ac4515937792e6de3ed2b5b23b7a81""}}, {""value"": ""Research Journal of Accounting and Business Management"", ""data"": {""id"": ""jour.1337630"", ""title"": ""Research Journal of Accounting and Business Management"", ""hash"": ""297336f745291a1abecbfa387ed2eab78304cc4a""}}, {""value"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""data"": {""id"": ""jour.1338289"", ""title"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""hash"": ""3bbd293a754ae37a48a078673a47089ff5584de2""}}, {""value"": ""Indonesian Journal of Contemporary Accounting Research"", ""data"": {""id"": ""jour.1366091"", ""title"": ""Indonesian Journal of Contemporary Accounting Research"", ""hash"": ""3de1093436bd8d34440b0460c802604d9a04227a""}}, {""value"": ""Journal of Finance and Accounting Research"", ""data"": {""id"": ""jour.1365661"", ""title"": ""Journal of Finance and Accounting Research"", ""hash"": ""f240d3579a292330d13365559334634878252175""}}]}"
Contemporary Accounting Research,Contemporary Accounting Research,jour.1138183,958f4036c09cd89513ea4ea1c358c5caf2067863,1.0,"{""suggestions"": [{""value"": ""Contemporary Accounting Research"", ""data"": {""id"": ""jour.1138183"", ""title"": ""Contemporary Accounting Research"", ""hash"": ""958f4036c09cd89513ea4ea1c358c5caf2067863""}}, {""value"": ""Indonesian Journal of Contemporary Accounting Research"", ""data"": {""id"": ""jour.1366091"", ""title"": ""Indonesian Journal of Contemporary Accounting Research"", ""hash"": ""3de1093436bd8d34440b0460c802604d9a04227a""}}]}"
Review of Accounting Studies,Review of Accounting Studies,jour.1136096,6dfb26b09cdeb897233f29425a9c26f29d6a80ad,1.0,"{""suggestions"": [{""value"": ""Review of Accounting Studies"", ""data"": {""id"": ""jour.1136096"", ""title"": ""Review of Accounting Studies"", ""hash"": ""6dfb26b09cdeb897233f29425a9c26f29d6a80ad""}}, {""value"": ""Review of Accounting and Policy Studies"", ""data"": {""id"": ""jour.1365834"", ""title"": ""Review of Accounting and Policy Studies"", ""hash"": ""9b7869b37e8f3969713bbc7c6e227a7aaa1c3070""}}, {""value"": ""Algerian Review of Studies in Accounting and Financial"", ""data"": {""id"": ""jour.1338483"", ""title"": ""Algerian Review of Studies in Accounting and Financial"", ""hash"": ""ee554260fb4d1c999411a5cea1255daeff9f0007""}}]}"
Abacus,Abacus,jour.1327791,dfefef5a67eae10cfa01699ea1bf172bbca2bc59,1.0,"{""suggestions"": [{""value"": ""Abacus"", ""data"": {""id"": ""jour.1327791"", ""title"": ""Abacus"", ""hash"": ""dfefef5a67eae10cfa01699ea1bf172bbca2bc59""}}]}"
Accounting and Business Research,Accounting and Business Research,jour.1137863,ab4deef4671e881c10b57f48a388854818a4becd,1.0,"{""suggestions"": [{""value"": ""Accounting and Business Research"", ""data"": {""id"": ""jour.1137863"", ""title"": ""Accounting and Business Research"", ""hash"": ""ab4deef4671e881c10b57f48a388854818a4becd""}}, {""value"": ""Journal of Islamic Accounting and Business Research"", ""data"": {""id"": ""jour.1148413"", ""title"": ""Journal of Islamic Accounting and Business Research"", ""hash"": ""1d592bbd9306bb1aee0eae71a856b30c4581f8a6""}}, {""value"": ""Journal of Accounting Business and Finance Research"", ""data"": {""id"": ""jour.1300449"", ""title"": ""Journal of Accounting Business and Finance Research"", ""hash"": ""2ef2bd94a0947914ae9d3a862d8506bc9ecc142d""}}, {""value"": ""International Business and Accounting Research Journal"", ""data"": {""id"": ""jour.1314625"", ""title"": ""International Business and Accounting Research Journal"", ""hash"": ""afbcfceba719c23dc5cc86cb64119813dccd5c6e""}}, {""value"": ""Research Journal of Accounting and Business Management"", ""data"": {""id"": ""jour.1337630"", ""title"": ""Research Journal of Accounting and Business Management"", ""hash"": ""297336f745291a1abecbfa387ed2eab78304cc4a""}}, {""value"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""data"": {""id"": ""jour.1338289"", ""title"": ""International Journal of Economics Business and Accounting Research (IJEBAR)"", ""hash"": ""3bbd293a754ae37a48a078673a47089ff5584de2""}}]}"
Accounting Forum,Accounting Forum,jour.1143209,6d1421c4d89a98dd8938493854f6e0a126f962ce,1.0,"{""suggestions"": [{""value"": ""Accounting Forum"", ""data"": {""id"": ""jour.1143209"", ""title"": ""Accounting Forum"", ""hash"": ""6d1421c4d89a98dd8938493854f6e0a126f962ce""}}]}"
Accounting Horizons,Accounting Horizons,jour.1139701,be7b9fd0fdc1b3e14f4455308a7e2145baaeec85,1.0,"{""suggestions"": [{""value"": ""Accounting Horizons"", ""data"": {""id"": ""jour.1139701"", ""title"": ""Accounting Horizons"", ""hash"": ""be7b9fd0fdc1b3e14f4455308a7e2145baaeec85""}}]}"
