SO,SO_id,DI,dimensions_id
Multinational Business Review,jour.1143126,10.1108/mbr-11-2017-0087,pub.1107690858
Multinational Business Review,jour.1143126,10.1108/mbr-08-2017-0053,pub.1107557856
Multinational Business Review,jour.1143126,10.1108/mbr-10-2017-0080,pub.1104244529
Multinational Business Review,jour.1143126,10.1108/mbr-08-2018-0058,pub.1107907251
Multinational Business Review,jour.1143126,10.1108/mbr-09-2018-0062,pub.1110425767
Multinational Business Review,jour.1143126,10.1108/mbr-06-2017-0038,pub.1110043863
Multinational Business Review,jour.1143126,10.1108/mbr-12-2017-0105,pub.1107354210
Multinational Business Review,jour.1143126,10.1108/mbr-11-2017-0098,pub.1107354209
Multinational Business Review,jour.1143126,10.1108/mbr-12-2017-0102,pub.1106988606
Multinational Business Review,jour.1143126,10.1108/mbr-04-2018-0032,pub.1106933666
Multinational Business Review,jour.1143126,10.1108/mbr-01-2018-0008,pub.1106861069
Multinational Business Review,jour.1143126,10.1108/mbr-06-2017-0035,pub.1106711987
Multinational Business Review,jour.1143126,10.1108/mbr-04-2018-0031,pub.1105382899
Multinational Business Review,jour.1143126,10.1108/mbr-02-2018-0011,pub.1105181937
Multinational Business Review,jour.1143126,10.1108/mbr-03-2017-0014,pub.1104174284
Multinational Business Review,jour.1143126,10.1108/mbr-01-2018-0009,pub.1104174283
Multinational Business Review,jour.1143126,10.1108/mbr-08-2017-0060,pub.1103933199
Multinational Business Review,jour.1143126,10.1108/mbr-07-2017-0052,pub.1101247166
Multinational Business Review,jour.1143126,10.1108/mbr-07-2017-0044,pub.1101247165
Multinational Business Review,jour.1143126,10.1108/mbr-01-2018-0006,pub.1101247164
Multinational Business Review,jour.1143126,10.1108/mbr-01-2017-0003,pub.1101247163
Multinational Business Review,jour.1143126,10.1108/mbr-11-2016-0041,pub.1092423312
Multinational Business Review,jour.1143126,10.1108/mbr-07-2017-0042,pub.1092423311
Multinational Business Review,jour.1143126,10.1108/mbr-04-2017-0020,pub.1092423310
Multinational Business Review,jour.1143126,10.1108/mbr-04-2017-0019,pub.1092423309
Multinational Business Review,jour.1143126,10.1108/mbr-09-2017-0064,pub.1093159528
Multinational Business Review,jour.1143126,10.1108/mbr-07-2017-0050,pub.1091016961
Multinational Business Review,jour.1143126,10.1108/mbr-05-2017-0028,pub.1091016960
Multinational Business Review,jour.1143126,10.1108/mbr-03-2017-0016,pub.1091016959
Multinational Business Review,jour.1143126,10.1108/mbr-03-2017-0013,pub.1091016958
Multinational Business Review,jour.1143126,10.1108/mbr-01-2017-0004,pub.1091016957
Multinational Business Review,jour.1143126,10.1108/mbr-12-2016-0044,pub.1085795682
Multinational Business Review,jour.1143126,10.1108/mbr-04-2017-0024,pub.1085795681
Multinational Business Review,jour.1143126,10.1108/mbr-04-2016-0014,pub.1085795680
Multinational Business Review,jour.1143126,10.1108/mbr-03-2017-0017,pub.1085795679
Multinational Business Review,jour.1143126,10.1108/mbr-03-2017-0015,pub.1085795678
Multinational Business Review,jour.1143126,10.1108/mbr-10-2016-0037,pub.1085275113
Multinational Business Review,jour.1143126,10.1108/mbr-04-2016-0016,pub.1085275112
Multinational Business Review,jour.1143126,10.1108/mbr-02-2017-0009,pub.1085275111
Multinational Business Review,jour.1143126,10.1108/mbr-12-2016-0047,pub.1085275110
Multinational Business Review,jour.1143126,10.1108/mbr-04-2015-0013,pub.1085275109
Multinational Business Review,jour.1143126,10.1108/mbr-07-2015-0028,pub.1051472805
Multinational Business Review,jour.1143126,10.1108/mbr-08-2015-0040,pub.1042482044
Multinational Business Review,jour.1143126,10.1108/mbr-06-2016-0020,pub.1038627475
Multinational Business Review,jour.1143126,10.1108/mbr-09-2015-0044,pub.1036700638
Multinational Business Review,jour.1143126,10.1108/mbr-07-2016-0024,pub.1022483372
Multinational Business Review,jour.1143126,10.1108/mbr-07-2016-0026,pub.1046705900
Multinational Business Review,jour.1143126,10.1108/mbr-08-2015-0037,pub.1026313323
Multinational Business Review,jour.1143126,10.1108/mbr-07-2016-0025,pub.1014030242
Multinational Business Review,jour.1143126,10.1108/mbr-06-2016-0023,pub.1002063432
Multinational Business Review,jour.1143126,10.1108/mbr-07-2016-0027,pub.1000898050
Multinational Business Review,jour.1143126,10.1108/mbr-10-2015-0050,pub.1046176780
Multinational Business Review,jour.1143126,10.1108/mbr-12-2015-0062,pub.1042176992
Multinational Business Review,jour.1143126,10.1108/mbr-03-2015-0011,pub.1034910880
Multinational Business Review,jour.1143126,10.1108/mbr-07-2015-0033,pub.1021663012
Multinational Business Review,jour.1143126,10.1108/mbr-05-2015-0021,pub.1010327292
Multinational Business Review,jour.1143126,10.1108/mbr-08-2015-0039,pub.1042975933
Multinational Business Review,jour.1143126,10.1108/mbr-05-2015-0016,pub.1036810080
Multinational Business Review,jour.1143126,10.1108/mbr-11-2015-0055,pub.1024903518
Multinational Business Review,jour.1143126,10.1108/mbr-06-2015-0025,pub.1020134323
Multinational Business Review,jour.1143126,10.1108/mbr-09-2015-0045,pub.1014569245
Multinational Business Review,jour.1143126,10.1108/mbr-09-2015-0041,pub.1061020326
Multinational Business Review,jour.1143126,10.1108/mbr-07-2015-0029,pub.1048494900
Multinational Business Review,jour.1143126,10.1108/mbr-05-2015-0019,pub.1045234376
Multinational Business Review,jour.1143126,10.1108/mbr-07-2015-0027,pub.1013574933
Multinational Business Review,jour.1143126,10.1108/mbr-05-2015-0018,pub.1010793265
Multinational Business Review,jour.1143126,10.1108/mbr-05-2015-0017,pub.1009828816
Multinational Business Review,jour.1143126,10.1108/mbr-04-2015-0014,pub.1005745897
Multinational Business Review,jour.1143126,10.1108/mbr-06-2015-0023,pub.1049844491
Multinational Business Review,jour.1143126,10.1108/mbr-12-2014-0067,pub.1029156260
Multinational Business Review,jour.1143126,10.1108/mbr-08-2014-0041,pub.1014094892
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0020,pub.1004148862
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0031,pub.1026336043
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0033,pub.1020671257
