SO,SO_id,DI,dimensions_id
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12188,pub.1109928912
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12183,pub.1107409491
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12154,pub.1107400837
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12182,pub.1105456199
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12181,pub.1105301855
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12180,pub.1105032136
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12179,pub.1104900480
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12152,pub.1105336713
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12169,pub.1103846904
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12168,pub.1103265058
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12167,pub.1101839873
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12165,pub.1103200640
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12166,pub.1101139574
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12164,pub.1100917876
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12163,pub.1100864916
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12160,pub.1092707638
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12155,pub.1092172825
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12162,pub.1092860263
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12161,pub.1092748168
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12159,pub.1092674704
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12158,pub.1092674703
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12157,pub.1092656683
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12156,pub.1092649224
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12146,pub.1091163928
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12145,pub.1090675643
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12143,pub.1085210425
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12142,pub.1085209931
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12141,pub.1084773190
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12125,pub.1090611982
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12144,pub.1085580472
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12137,pub.1054030463
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12115,pub.1034338973
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12132,pub.1006513914
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12133,pub.1004388505
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12140,pub.1084215777
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12139,pub.1083755022
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12138,pub.1074191625
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12136,pub.1053993139
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12135,pub.1053884689
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12134,pub.1047132823
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12116,pub.1034407862
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12113,pub.1028107697
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12131,pub.1017035824
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12118,pub.1011284161
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12130,pub.1007123144
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12129,pub.1001779625
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12128,pub.1048702323
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12114,pub.1035894637
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12117,pub.1035084078
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12111,pub.1027752211
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12112,pub.1012986523
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12119,pub.1001523010
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12101,pub.1049996045
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12104,pub.1045831223
Journal of Supply Chain Management,jour.1022285,10.1111/jscm.12106,pub.1039300983
