eid,views,citations
2-s2.0-85052300213,4341,1
2-s2.0-85052748228,1537,1
2-s2.0-85049056420,2556,1
2-s2.0-85043358110,9004,5
2-s2.0-85042158139,5340,1
2-s2.0-85029214120,1750,0
2-s2.0-85029208202,2907,0
2-s2.0-84994627497,54760,43
2-s2.0-84995932456,4743,3
2-s2.0-85006511763,9136,3
2-s2.0-84964860849,6694,12
2-s2.0-84949008142,6244,5
2-s2.0-84962140512,9051,24
2-s2.0-84957099267,6100,3
2-s2.0-84965133891,10616,36
2-s2.0-84960258013,9615,18
2-s2.0-84927722539,12073,55
2-s2.0-84922592637,7190,17
2-s2.0-84988299330,7891,33
2-s2.0-84921926597,17092,82
2-s2.0-84897847725,4153,7
2-s2.0-85030308547,0,3
2-s2.0-85041942236,0,8
2-s2.0-85034626935,0,5
2-s2.0-85038035328,0,1
2-s2.0-85024476724,0,1
2-s2.0-84979210431,0,11
2-s2.0-84961712588,0,12
2-s2.0-84962135682,0,5
2-s2.0-84966709815,0,20
2-s2.0-84956900341,0,7
2-s2.0-84939613204,0,17
2-s2.0-84939653691,0,0
2-s2.0-84929702023,0,42
2-s2.0-84923528906,0,34
2-s2.0-84922805208,0,7
2-s2.0-84905737007,0,40
2-s2.0-84905680226,0,9
2-s2.0-84899511511,0,13
2-s2.0-84895616163,0,38
2-s2.0-84895776635,0,38
2-s2.0-84892824206,0,9
2-s2.0-84892796774,0,52
2-s2.0-85058499662,0,0
2-s2.0-85053712750,0,3
2-s2.0-85050994904,0,1
2-s2.0-85050993163,0,3
2-s2.0-85050980358,0,2
2-s2.0-85041648326,0,19
2-s2.0-85042023643,0,2
2-s2.0-85038020397,0,4
2-s2.0-85034023401,0,3
2-s2.0-85037691598,0,4
2-s2.0-85031716384,0,4
2-s2.0-85028559372,0,1
2-s2.0-85026351259,0,12
2-s2.0-85026430768,0,2
2-s2.0-85029586241,0,3
2-s2.0-85021383198,0,4
2-s2.0-85018989737,0,2
2-s2.0-85018413575,0,17
2-s2.0-85009468580,0,3
2-s2.0-85032068601,0,4
2-s2.0-85015295920,0,4
2-s2.0-85011635976,0,10
2-s2.0-84987638189,0,10
2-s2.0-84964931655,0,4
2-s2.0-84949575599,0,1
2-s2.0-84945403181,0,17
2-s2.0-84938807456,0,6
2-s2.0-84938149758,0,5
2-s2.0-84940093688,0,7
2-s2.0-84937796659,0,6
2-s2.0-84963705899,0,66
2-s2.0-84949580365,0,1
2-s2.0-84938117781,0,4
2-s2.0-84962512690,0,0
2-s2.0-84928378280,0,3
2-s2.0-84941041830,0,11
2-s2.0-84941167490,0,5
2-s2.0-84941097304,0,12
2-s2.0-84928486107,0,29
2-s2.0-84931049468,0,21
2-s2.0-84921972323,0,0
2-s2.0-84924807294,0,15
2-s2.0-84924787196,0,3
2-s2.0-84924798686,0,0
2-s2.0-84924853119,0,62
2-s2.0-85027917715,0,9
2-s2.0-84924233051,0,63
2-s2.0-84927572676,0,24
2-s2.0-84902545586,0,5
2-s2.0-84902533506,0,4
2-s2.0-84896397388,0,13
2-s2.0-85054175667,0,1
2-s2.0-85049586895,0,1
2-s2.0-85048776226,0,0
2-s2.0-85029145706,0,12
2-s2.0-85028311600,0,3
2-s2.0-85023756372,0,9
2-s2.0-85020508142,0,4
2-s2.0-85019221677,0,2
2-s2.0-85013670932,0,24
2-s2.0-85018330733,0,9
2-s2.0-85017127304,0,15
2-s2.0-85000963070,0,12
2-s2.0-85009902145,0,2
2-s2.0-85006905591,0,4
2-s2.0-84979243259,0,6
2-s2.0-84988708742,0,2
2-s2.0-84975510754,0,4
2-s2.0-84974808165,0,8
2-s2.0-84961163117,0,8
2-s2.0-84957586687,0,7
2-s2.0-84958762262,0,9
2-s2.0-84958770893,0,4
2-s2.0-84947029179,0,0
2-s2.0-84947031313,0,6
2-s2.0-84947033785,0,14
2-s2.0-84946422953,0,2
2-s2.0-84947037347,0,8
2-s2.0-84939253028,0,6
2-s2.0-84939251375,0,9
2-s2.0-84939252523,0,23
2-s2.0-84939252865,0,4
2-s2.0-84923241620,0,2
2-s2.0-84891502415,0,4
2-s2.0-84905730668,0,0
2-s2.0-84905719891,0,3
2-s2.0-84900790228,0,4
2-s2.0-84900797447,0,9
2-s2.0-84900816186,0,4
2-s2.0-84900817072,0,1
2-s2.0-84900830421,0,21
2-s2.0-84893913621,0,28
2-s2.0-84893969512,0,87
2-s2.0-84893903535,0,27
2-s2.0-84893923721,0,12
2-s2.0-84893928462,0,23
2-s2.0-85027517654,0,2
2-s2.0-85018968405,0,3
2-s2.0-85017422825,0,1
2-s2.0-85014363126,0,57
2-s2.0-85007092842,0,0
2-s2.0-85007090218,0,2
2-s2.0-85007029628,0,9
2-s2.0-84963546232,0,3
2-s2.0-84963626733,0,12
2-s2.0-84963537614,0,3
2-s2.0-84955209852,0,13
2-s2.0-84925294369,0,5
2-s2.0-84897781487,0,6
2-s2.0-84897772704,0,7
2-s2.0-85048210622,0,0
2-s2.0-85048238423,0,1
2-s2.0-85048239883,0,10
2-s2.0-85038398649,0,1
2-s2.0-85029895257,0,4
2-s2.0-85029687183,0,1
2-s2.0-85021822171,0,1
2-s2.0-85019267395,0,3
2-s2.0-85016123847,0,1
2-s2.0-85020689847,0,0
2-s2.0-85020685340,0,1
2-s2.0-85020634399,0,6
2-s2.0-85020663645,0,13
2-s2.0-85007173714,0,13
2-s2.0-85006137983,0,1
2-s2.0-84978105949,0,2
2-s2.0-84996555362,0,13
