SO,SO_id,DI,dimensions_id
Journal of Knowledge Management,jour.1138818,10.1108/jkm-01-2018-0035,pub.1107591328
Journal of Knowledge Management,jour.1138818,10.1108/jkm-05-2017-0210,pub.1107542779
Journal of Knowledge Management,jour.1138818,10.1108/jkm-04-2018-0270,pub.1107542778
Journal of Knowledge Management,jour.1138818,10.1108/jkm-04-2017-0150,pub.1107542777
Journal of Knowledge Management,jour.1138818,10.1108/jkm-03-2018-0211,pub.1107542775
Journal of Knowledge Management,jour.1138818,10.1108/jkm-03-2018-0192,pub.1107542774
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2016-0238,pub.1106353201
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2017-0241,pub.1106295703
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0497,pub.1104383929
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2017-0293,pub.1104174277
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2018-0641,pub.1121839159
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0370,pub.1116124354
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2018-0476,pub.1113308413
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0361,pub.1112419985
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0394,pub.1112402286
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2018-0503,pub.1111845928
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2018-0466,pub.1111725869
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0391,pub.1110349160
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2018-0414,pub.1110134955
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0371,pub.1110134954
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2018-0447,pub.1109959171
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2018-0368,pub.1107651515
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2018-0461,pub.1107531231
Journal of Knowledge Management,jour.1138818,10.1108/jkm-12-2016-0531,pub.1104337793
Journal of Knowledge Management,jour.1138818,10.1108/jkm-11-2017-0517,pub.1104337792
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0373,pub.1104244516
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0342,pub.1104244515
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2017-0284,pub.1104244514
Journal of Knowledge Management,jour.1138818,10.1108/jkm-05-2017-0179,pub.1104244513
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0449,pub.1104174278
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0460,pub.1103997737
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0442,pub.1103997736
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0325,pub.1103976974
Journal of Knowledge Management,jour.1138818,10.1108/jkm-12-2017-0558,pub.1106988594
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0395,pub.1106861054
Journal of Knowledge Management,jour.1138818,10.1108/jkm-04-2017-0145,pub.1104383928
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0409,pub.1104337790
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2016-0398,pub.1104337789
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0467,pub.1104244517
Journal of Knowledge Management,jour.1138818,10.1108/jkm-03-2017-0106,pub.1104244512
Journal of Knowledge Management,jour.1138818,10.1108/jkm-01-2017-0047,pub.1103997735
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0367,pub.1101453169
Journal of Knowledge Management,jour.1138818,10.1108/jkm-04-2017-0131,pub.1101453167
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2017-0276,pub.1101430849
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0359,pub.1101276305
Journal of Knowledge Management,jour.1138818,10.1108/jkm-06-2017-0219,pub.1101475650
Journal of Knowledge Management,jour.1138818,10.1108/jkm-11-2016-0489,pub.1101453171
Journal of Knowledge Management,jour.1138818,10.1108/jkm-05-2017-0184,pub.1101453168
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0477,pub.1101247160
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2017-0304,pub.1101151650
Journal of Knowledge Management,jour.1138818,10.1108/jkm-02-2017-0061,pub.1101151646
Journal of Knowledge Management,jour.1138818,10.1108/jkm-01-2017-0017,pub.1101151644
Journal of Knowledge Management,jour.1138818,10.1108/jkm-07-2017-0305,pub.1101024734
Journal of Knowledge Management,jour.1138818,10.1108/jkm-05-2017-0172,pub.1101024733
Journal of Knowledge Management,jour.1138818,10.1108/jkm-01-2017-0033,pub.1104331427
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0473,pub.1104337791
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2017-0349,pub.1104337788
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0399,pub.1104047280
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0407,pub.1103976975
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2016-0457,pub.1101247159
Journal of Knowledge Management,jour.1138818,10.1108/jkm-02-2017-0048,pub.1101227515
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0412,pub.1101203292
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2016-0338,pub.1101151652
Journal of Knowledge Management,jour.1138818,10.1108/jkm-08-2016-0350,pub.1101114975
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2016-0458,pub.1101062497
Journal of Knowledge Management,jour.1138818,10.1108/jkm-10-2017-0448,pub.1101046829
Journal of Knowledge Management,jour.1138818,10.1108/jkm-09-2017-0420,pub.1101024737
