SO,SO_id,DI,dimensions_id
Review of Economic Design,jour.1136607,10.1007/s10058-018-0215-2,pub.1107186971
Review of Economic Design,jour.1136607,10.1007/s10058-018-0216-1,pub.1106894257
Review of Economic Design,jour.1136607,10.1007/s10058-018-0214-3,pub.1106329941
Review of Economic Design,jour.1136607,10.1007/s10058-018-0213-4,pub.1106185262
Review of Economic Design,jour.1136607,10.1007/s10058-018-0212-5,pub.1105491903
Review of Economic Design,jour.1136607,10.1007/s10058-018-0210-7,pub.1104450831
Review of Economic Design,jour.1136607,10.1007/s10058-018-0211-6,pub.1104411229
Review of Economic Design,jour.1136607,10.1007/s10058-018-0209-0,pub.1101747924
Review of Economic Design,jour.1136607,10.1007/s10058-018-0208-1,pub.1100468334
Review of Economic Design,jour.1136607,10.1007/s10058-017-0207-7,pub.1092535962
Review of Economic Design,jour.1136607,10.1007/s10058-017-0206-8,pub.1091817275
Review of Economic Design,jour.1136607,10.1007/s10058-017-0205-9,pub.1091497467
Review of Economic Design,jour.1136607,10.1007/s10058-017-0202-z,pub.1090378475
Review of Economic Design,jour.1136607,10.1007/s10058-017-0204-x,pub.1090939997
Review of Economic Design,jour.1136607,10.1007/s10058-017-0203-y,pub.1090365958
Review of Economic Design,jour.1136607,10.1007/s10058-017-0199-3,pub.1084518135
Review of Economic Design,jour.1136607,10.1007/s10058-017-0200-1,pub.1085747846
Review of Economic Design,jour.1136607,10.1007/s10058-017-0201-0,pub.1085745025
Review of Economic Design,jour.1136607,10.1007/s10058-017-0198-4,pub.1083765751
Review of Economic Design,jour.1136607,10.1007/s10058-017-0197-5,pub.1083750304
Review of Economic Design,jour.1136607,10.1007/s10058-016-0196-y,pub.1039976263
Review of Economic Design,jour.1136607,10.1007/s10058-016-0195-z,pub.1034638694
Review of Economic Design,jour.1136607,10.1007/s10058-016-0188-y,pub.1032717126
Review of Economic Design,jour.1136607,10.1007/s10058-016-0192-2,pub.1051182133
Review of Economic Design,jour.1136607,10.1007/s10058-016-0194-0,pub.1037081853
Review of Economic Design,jour.1136607,10.1007/s10058-016-0193-1,pub.1032164962
Review of Economic Design,jour.1136607,10.1007/s10058-016-0191-3,pub.1046010017
Review of Economic Design,jour.1136607,10.1007/s10058-016-0190-4,pub.1040028769
Review of Economic Design,jour.1136607,10.1007/s10058-016-0187-z,pub.1016973133
Review of Economic Design,jour.1136607,10.1007/s10058-016-0189-x,pub.1003000885
Review of Economic Design,jour.1136607,10.1007/s10058-015-0185-6,pub.1050824743
Review of Economic Design,jour.1136607,10.1007/s10058-015-0182-9,pub.1025149792
Review of Economic Design,jour.1136607,10.1007/s10058-016-0186-0,pub.1011498369
Review of Economic Design,jour.1136607,10.1007/s10058-015-0184-7,pub.1039208118
Review of Economic Design,jour.1136607,10.1007/s10058-015-0183-8,pub.1028227697
Review of Economic Design,jour.1136607,10.1007/s10058-015-0181-x,pub.1027286413
Review of Economic Design,jour.1136607,10.1007/s10058-015-0180-y,pub.1001813260
Review of Economic Design,jour.1136607,10.1007/s10058-015-0172-y,pub.1040557095
Review of Economic Design,jour.1136607,10.1007/s10058-015-0178-5,pub.1009203789
Review of Economic Design,jour.1136607,10.1007/s10058-015-0176-7,pub.1009150728
Review of Economic Design,jour.1136607,10.1007/s10058-015-0179-4,pub.1007213709
Review of Economic Design,jour.1136607,10.1007/s10058-015-0173-x,pub.1040410768
Review of Economic Design,jour.1136607,10.1007/s10058-015-0175-8,pub.1032180359
Review of Economic Design,jour.1136607,10.1007/s10058-015-0177-6,pub.1026971848
Review of Economic Design,jour.1136607,10.1007/s10058-015-0174-9,pub.1012683016
Review of Economic Design,jour.1136607,10.1007/s10058-015-0167-8,pub.1043787920
Review of Economic Design,jour.1136607,10.1007/s10058-015-0169-6,pub.1017129433
Review of Economic Design,jour.1136607,10.1007/s10058-015-0171-z,pub.1004055316
Review of Economic Design,jour.1136607,10.1007/s10058-015-0168-7,pub.1002831354
Review of Economic Design,jour.1136607,10.1007/s10058-015-0170-0,pub.1046872715
Review of Economic Design,jour.1136607,10.1007/s10058-014-0161-6,pub.1047530097
Review of Economic Design,jour.1136607,10.1007/s10058-014-0156-3,pub.1042943051
Review of Economic Design,jour.1136607,10.1007/s10058-014-0163-4,pub.1041474949
Review of Economic Design,jour.1136607,10.1007/s10058-015-0166-9,pub.1036698017
