SO,SO_id,DI,dimensions_id
Journal of Indian Business Research,jour.1146290,10.1108/jibr-02-2018-0079,pub.1107504315
Journal of Indian Business Research,jour.1146290,10.1108/jibr-01-2017-0011,pub.1107504313
Journal of Indian Business Research,jour.1146290,10.1108/jibr-12-2017-0247,pub.1101475648
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2017-0162,pub.1101475647
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2018-0253,pub.1116850567
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2018-0235,pub.1114081661
Journal of Indian Business Research,jour.1146290,10.1108/jibr-12-2017-0251,pub.1108062805
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0205,pub.1107971146
Journal of Indian Business Research,jour.1146290,10.1108/jibr-03-2018-0103,pub.1107971145
Journal of Indian Business Research,jour.1146290,10.1108/jibr-01-2018-0014,pub.1107971142
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0196,pub.1107714616
Journal of Indian Business Research,jour.1146290,10.1108/jibr-12-2017-0260,pub.1107651512
Journal of Indian Business Research,jour.1146290,10.1108/jibr-01-2018-0013,pub.1107504314
Journal of Indian Business Research,jour.1146290,10.1108/jibr-08-2018-261,pub.1106437715
Journal of Indian Business Research,jour.1146290,10.1108/jibr-05-2018-0152,pub.1105930948
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0191,pub.1105930949
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0189,pub.1101609769
Journal of Indian Business Research,jour.1146290,10.1108/jibr-11-2017-0216,pub.1101151643
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0176,pub.1100757590
Journal of Indian Business Research,jour.1146290,10.1108/jibr-11-2017-0213,pub.1100953792
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2017-0147,pub.1100926146
Journal of Indian Business Research,jour.1146290,10.1108/jibr-07-2017-0109,pub.1100847550
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0171,pub.1100757589
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2017-0177,pub.1100639886
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2017-0148,pub.1100799990
Journal of Indian Business Research,jour.1146290,10.1108/jibr-07-2017-0104,pub.1100700667
Journal of Indian Business Research,jour.1146290,10.1108/jibr-07-2016-0074,pub.1100299915
Journal of Indian Business Research,jour.1146290,10.1108/jibr-05-2017-0059,pub.1100204654
Journal of Indian Business Research,jour.1146290,10.1108/jibr-01-2017-0009,pub.1100204653
Journal of Indian Business Research,jour.1146290,10.1108/jibr-10-2016-0111,pub.1092430569
Journal of Indian Business Research,jour.1146290,10.1108/jibr-09-2016-0090,pub.1092430568
Journal of Indian Business Research,jour.1146290,10.1108/jibr-02-2017-0018,pub.1092372568
Journal of Indian Business Research,jour.1146290,10.1108/jibr-12-2016-0145,pub.1090697141
Journal of Indian Business Research,jour.1146290,10.1108/jibr-12-2016-0142,pub.1090697140
Journal of Indian Business Research,jour.1146290,10.1108/jibr-11-2016-0132,pub.1090697139
