SO,dimensions_id,SO_id,DI
Nature,pub.1103975325,jour.1018957,10.1038/d41586-017-00673-z
Nature,pub.1056449239,jour.1018957,10.1038/nature.2016.21227
Nature,pub.1056449235,jour.1018957,10.1038/nature.2016.21215
Nature,pub.1056449230,jour.1018957,10.1038/nature.2016.21190
Nature,pub.1056449238,jour.1018957,10.1038/nature.2016.21225
Nature,pub.1056449236,jour.1018957,10.1038/nature.2016.21216
Nature,pub.1056449237,jour.1018957,10.1038/nature.2016.21218
Nature,pub.1056449201,jour.1018957,10.1038/nature.2016.21093
Nature,pub.1103975322,jour.1018957,10.1038/d41586-017-00564-3
Nature,pub.1056449234,jour.1018957,10.1038/nature.2016.21206
Nature,pub.1056449233,jour.1018957,10.1038/nature.2016.21193
Nature,pub.1056449232,jour.1018957,10.1038/nature.2016.21192
Nature,pub.1056449231,jour.1018957,10.1038/nature.2016.21191
Nature,pub.1056449229,jour.1018957,10.1038/nature.2016.21187
Nature,pub.1056449228,jour.1018957,10.1038/nature.2016.21185
Nature,pub.1056449227,jour.1018957,10.1038/nature.2016.21184
Nature,pub.1056449222,jour.1018957,10.1038/nature.2016.21165
Nature,pub.1056449220,jour.1018957,10.1038/nature.2016.21162
Nature,pub.1103975323,jour.1018957,10.1038/d41586-017-00592-z
Nature,pub.1056449226,jour.1018957,10.1038/nature.2016.21182
Nature,pub.1056449225,jour.1018957,10.1038/nature.2016.21181
Nature,pub.1056449224,jour.1018957,10.1038/nature.2016.21180
Nature,pub.1056449223,jour.1018957,10.1038/nature.2016.21166
Nature,pub.1056449212,jour.1018957,10.1038/nature.2016.21140
Nature,pub.1056449221,jour.1018957,10.1038/nature.2016.21163
Nature,pub.1056449218,jour.1018957,10.1038/nature.2016.21158
Nature,pub.1056449214,jour.1018957,10.1038/nature.2016.21144
Nature,pub.1056449219,jour.1018957,10.1038/nature.2016.21160
Nature,pub.1056449217,jour.1018957,10.1038/nature.2016.21155
Nature,pub.1056449216,jour.1018957,10.1038/nature.2016.21153
Nature,pub.1056449209,jour.1018957,10.1038/nature.2016.21130
Nature,pub.1056449215,jour.1018957,10.1038/nature.2016.21146
Nature,pub.1056449213,jour.1018957,10.1038/nature.2016.21142
Nature,pub.1056449211,jour.1018957,10.1038/nature.2016.21135
Nature,pub.1056449210,jour.1018957,10.1038/nature.2016.21133
Nature,pub.1056449208,jour.1018957,10.1038/nature.2016.21128
Nature,pub.1056449207,jour.1018957,10.1038/nature.2016.21127
Nature,pub.1056449206,jour.1018957,10.1038/nature.2016.21112
Nature,pub.1056449204,jour.1018957,10.1038/nature.2016.21098
Nature,pub.1056449200,jour.1018957,10.1038/nature.2016.21092
Nature,pub.1056449205,jour.1018957,10.1038/nature.2016.21102
Nature,pub.1056449203,jour.1018957,10.1038/nature.2016.21097
Nature,pub.1056449202,jour.1018957,10.1038/nature.2016.21095
Nature,pub.1056449198,jour.1018957,10.1038/nature.2016.21087
Nature,pub.1056449192,jour.1018957,10.1038/nature.2016.21056
Nature,pub.1056449199,jour.1018957,10.1038/nature.2016.21088
Nature,pub.1056449197,jour.1018957,10.1038/nature.2016.21075
Nature,pub.1053394253,jour.1018957,10.1038/nature20560
Nature,pub.1052772757,jour.1018957,10.1038/nature20591
Nature,pub.1052617207,jour.1018957,10.1038/nature20568
Nature,pub.1051524196,jour.1018957,10.1038/nature20120
Nature,pub.1050648863,jour.1018957,10.1038/nature20586
Nature,pub.1049698334,jour.1018957,10.1038/nature20155
Nature,pub.1049373260,jour.1018957,10.1038/nature20587
Nature,pub.1048754532,jour.1018957,10.1038/nature20569
Nature,pub.1048734998,jour.1018957,10.1038/nature20603
Nature,pub.1048473781,jour.1018957,10.1038/nature21002
Nature,pub.1047669560,jour.1018957,10.1038/nature20596
Nature,pub.1047330691,jour.1018957,10.1038/nature20119
Nature,pub.1047305573,jour.1018957,10.1038/nature20605
Nature,pub.1046737113,jour.1018957,10.1038/nature20592
Nature,pub.1046618451,jour.1018957,10.1038/nature20588
Nature,pub.1046485926,jour.1018957,10.1038/nature20573
Nature,pub.1045544424,jour.1018957,10.1038/nature20557
Nature,pub.1043399490,jour.1018957,10.1038/nature20576
Nature,pub.1042841101,jour.1018957,10.1038/nature20597
Nature,pub.1042474157,jour.1018957,10.1038/nature20607
Nature,pub.1041431798,jour.1018957,10.1038/nature20561
