DI,altmetric_id
10.1038/d41586-017-00673-z,
10.1038/nature.2016.21227,14940825
10.1038/nature.2016.21215,14945045
10.1038/nature.2016.21190,14941736
10.1038/nature.2016.21225,14914290
10.1038/nature.2016.21216,14913350
10.1038/nature.2016.21218,14891138
10.1038/nature.2016.21093,14885786
10.1038/d41586-017-00564-3,
10.1038/nature.2016.21206,14858666
10.1038/nature.2016.21193,14855490
10.1038/nature.2016.21192,14852883
10.1038/nature.2016.21191,14856394
10.1038/nature.2016.21187,14847845
10.1038/nature.2016.21185,14797638
10.1038/nature.2016.21184,14792622
10.1038/nature.2016.21165,14801386
10.1038/nature.2016.21162,14784592
10.1038/d41586-017-00592-z,
10.1038/nature.2016.21182,14767752
10.1038/nature.2016.21181,14777804
10.1038/nature.2016.21180,14769612
10.1038/nature.2016.21166,14772807
10.1038/nature.2016.21140,14772968
10.1038/nature.2016.21163,14749911
10.1038/nature.2016.21158,14754129
10.1038/nature.2016.21144,14733487
10.1038/nature.2016.21160,14715826
10.1038/nature.2016.21155,14708132
10.1038/nature.2016.21153,14705938
10.1038/nature.2016.21130,14720061
10.1038/nature.2016.21146,
10.1038/nature.2016.21142,14680902
10.1038/nature.2016.21135,14616778
10.1038/nature.2016.21133,14573339
10.1038/nature.2016.21128,14571908
10.1038/nature.2016.21127,14543737
10.1038/nature.2016.21112,14539065
10.1038/nature.2016.21098,14541826
10.1038/nature.2016.21092,14541829
10.1038/nature.2016.21102,14517317
10.1038/nature.2016.21097,14475713
10.1038/nature.2016.21095,14466838
10.1038/nature.2016.21087,14448106
10.1038/nature.2016.21056,14286317
10.1038/nature.2016.21088,14227124
10.1038/nature.2016.21075,14217860
10.1038/nature20560,13599496
10.1038/nature20591,14748778
10.1038/nature20568,14191974
10.1038/nature20120,13699642
10.1038/nature20586,14191367
10.1038/nature20155,14224032
10.1038/nature20587,14541869
10.1038/nature20569,14748888
10.1038/nature20603,14191630
10.1038/nature21002,14748982
10.1038/nature20596,14191401
10.1038/nature20119,14542045
10.1038/nature20605,14542237
10.1038/nature20592,14191373
10.1038/nature20588,14133605
