DI,plumx_id
10.1038/d41586-017-00673-z,IsfhKZFywvMf98t4CUTHxQfnFojRsVUdAay33JAcOEU
10.1038/nature.2016.21227,juOoRkmTkxLKT87onER2CjzAe9qiehCjIlRA5aIE1BY
10.1038/nature.2016.21215,RK6P2mQTuenkScbnkIokdXswa3Et0NDIBzjPDdyY520
10.1038/nature.2016.21190,UwzmVtdHsX6I37qTORSW5XUySlzGKNhn2mUKOySRl_o
10.1038/nature.2016.21225,3X03y61aWes3KDKwLT7MtnPwqlIXYos7osKekK4s1cw
10.1038/nature.2016.21216,8bcZlPvRrs0choDRhAqyjjEs6zNkCxuuyAXkEOL66TQ
10.1038/nature.2016.21218,bJ6ur5nc4HbSsAOR-DWQFlKj_aml3JBGl3jl6LwuK7g
10.1038/nature.2016.21093,OXXBbl9S1TT5v9cTmk3YpUFwl0FNt_bdWTVkiUccFe4
10.1038/d41586-017-00564-3,TrKbV62H8z2CqFN_21JGcRTmVuOBttm4IoVavaZMA1c
10.1038/nature.2016.21206,9V30DQ51E40HqXhElFtc6-0C0VY640Eye3fTxJacnQs
10.1038/nature.2016.21193,Si0LCO7alFTTbTTYyPSf6jSxYlK5c1axJ6k1s0v6nY0
10.1038/nature.2016.21192,HugdUE18ZwuP52vrc4MdsGoeQp2kgRy2H7qc5h9DWBE
10.1038/nature.2016.21191,csVkj03xfoNi7UtCq4jASkldLQmtCRLwSqrUCwrlbMQ
10.1038/nature.2016.21187,x3z4C0PAfcbsUYJ4-0bWEwgZzQ3n-n68gulOYRSEQ-k
10.1038/nature.2016.21185,eH97NpqCq-Dp4suqRrLUsF_2L9ThrEIW3Go9jRi20ls
10.1038/nature.2016.21184,NSW2nk0gdPJv4uj5RGf9_x_yn0sffvRrNPAl5E4N1Cs
10.1038/nature.2016.21165,EQ-RjYb644-LYLbLCwQ2eeWqUI7Lh5oKY9gx8gF-Nx4
10.1038/nature.2016.21162,UO6Pi7ua_R9Wo4c8FptxWoSd1AcMkWF_0eN0ZjWZ0MA
