DI,altmetric_id
10.1007/s10479-015-1981-7,
10.1007/s10479-015-1987-1,
10.1007/s10479-015-1880-y,
10.1007/s10479-015-1958-6,
10.1007/s10479-015-1935-0,
10.1007/s10479-015-1905-6,
10.1007/s10479-015-1997-z,
10.1007/s10479-015-2010-6,
10.1007/s10479-015-1913-6,
10.1007/s10479-015-1925-2,
10.1007/s10479-015-1951-0,8700004
10.1007/s10479-015-1990-6,
10.1007/s10479-015-1962-x,
10.1007/s10479-015-1918-1,
10.1007/s10479-015-1877-6,
10.1007/s10479-015-1932-3,
10.1007/s10479-014-1727-y,
10.1007/s10479-014-1777-1,
10.1007/s10479-014-1550-5,
10.1007/s10479-014-1779-z,
10.1007/s10479-012-1253-8,
10.1007/s10479-014-1595-5,
10.1007/s10479-014-1574-x,
10.1007/s10479-014-1656-9,
10.1007/s10479-013-1443-z,
10.1007/s10479-013-1507-0,
10.1007/s10479-013-1407-3,
10.1007/s10479-013-1516-z,
10.1007/s10479-014-1566-x,
10.1007/s10479-013-1316-5,
10.1007/s10479-013-1519-9,
10.1007/s10479-013-1389-1,
10.1007/s10479-014-1546-1,
10.1007/s10479-015-1839-z,
10.1007/s10479-014-1623-5,
10.1007/s10479-015-1841-5,
10.1007/s10479-015-1803-y,
10.1007/s10479-015-1853-1,
10.1007/s10479-014-1753-9,
10.1007/s10479-015-1818-4,
10.1007/s10479-013-1470-9,
10.1007/s10479-014-1763-7,
10.1007/s10479-015-1846-0,
10.1007/s10479-015-1815-7,
10.1007/s10479-015-1835-3,
10.1007/s10479-015-1816-6,
10.1007/s10479-015-1802-z,848433
10.1007/s10479-015-1826-4,
10.1007/s10479-014-1745-9,2825076
10.1007/s10479-014-1528-3,
10.1007/s10479-012-1136-z,
10.1007/s10479-013-1442-0,
10.1007/s10479-012-1088-3,
10.1007/s10479-012-1152-z,
10.1007/s10479-012-1095-4,
10.1007/s10479-015-1981-7,
10.1007/s10479-015-1987-1,
10.1007/s10479-015-1880-y,
10.1007/s10479-015-1958-6,
10.1007/s10479-015-1935-0,
10.1007/s10479-015-1905-6,
10.1007/s10479-015-1997-z,
10.1007/s10479-015-2010-6,
10.1007/s10479-015-1913-6,
10.1007/s10479-015-1925-2,
10.1007/s10479-015-1951-0,8700004
10.1007/s10479-015-1990-6,
10.1007/s10479-015-1962-x,
10.1007/s10479-015-1918-1,
10.1007/s10479-015-1877-6,
10.1007/s10479-015-1932-3,
10.1007/s10479-014-1727-y,
10.1007/s10479-014-1777-1,
10.1007/s10479-014-1550-5,
10.1007/s10479-014-1779-z,
10.1007/s10479-012-1253-8,
10.1007/s10479-014-1595-5,
10.1007/s10479-014-1574-x,
10.1007/s10479-014-1656-9,
10.1007/s10479-013-1443-z,
10.1007/s10479-013-1507-0,
10.1007/s10479-013-1407-3,
10.1007/s10479-013-1516-z,
10.1007/s10479-014-1566-x,
10.1007/s10479-013-1316-5,
10.1007/s10479-013-1519-9,
10.1007/s10479-013-1389-1,
10.1007/s10479-014-1546-1,
10.1007/s10479-015-1839-z,
10.1007/s10479-014-1623-5,
10.1007/s10479-015-1841-5,
10.1007/s10479-015-1803-y,
10.1007/s10479-015-1853-1,
10.1007/s10479-014-1753-9,
10.1007/s10479-015-1818-4,
10.1007/s10479-013-1470-9,
10.1007/s10479-014-1763-7,
10.1007/s10479-015-1846-0,
10.1007/s10479-015-1815-7,
10.1007/s10479-015-1835-3,
10.1007/s10479-015-1816-6,
10.1007/s10479-015-1802-z,848433
10.1007/s10479-015-1826-4,
10.1007/s10479-014-1745-9,2825076
10.1007/s10479-014-1528-3,
10.1007/s10479-012-1136-z,
10.1007/s10479-013-1442-0,
10.1007/s10479-012-1088-3,
10.1007/s10479-012-1152-z,
10.1007/s10479-012-1095-4,
10.1007/s10479-012-1094-5,622239
10.1007/s10479-013-1313-8,
10.1007/s10479-013-1367-7,
10.1007/s10479-013-1434-0,57499804
10.1007/s10479-014-1609-3,
10.1007/s10479-013-1420-6,
10.1007/s10479-014-1659-6,
10.1007/s10479-014-1698-z,
10.1007/s10479-014-1681-8,
10.1007/s10479-014-1691-6,
10.1007/s10479-014-1672-9,4117080
10.1007/s10479-014-1739-7,
10.1007/s10479-014-1706-3,
10.1007/s10479-014-1701-8,
10.1007/s10479-014-1692-5,2593139
10.1007/s10479-014-1728-x,
10.1007/s10479-014-1738-8,
10.1007/s10479-014-1714-3,
10.1007/s10479-014-1654-y,
10.1007/s10479-014-1735-y,9138975
10.1007/s10479-014-1650-2,
10.1007/s10479-014-1666-7,
10.1007/s10479-012-1251-x,
10.1007/s10479-013-1377-5,
10.1007/s10479-013-1404-6,
10.1007/s10479-013-1401-9,
10.1007/s10479-013-1426-0,
10.1080/0305215X.2014.971777,
10.1080/0305215X.2014.979814,
10.1080/0305215X.2014.971778,
10.1080/0305215X.2014.977274,
10.1080/0305215X.2014.979816,
