DI,plumx_id
10.1007/s10479-015-1981-7,1xyiob6xIjGN9K3OKUkilDwgXtj_PWEvX7apYMKRjtU
10.1007/s10479-015-1987-1,8U3ya0q7Z3TkqMJ2wHaxs6W6b7xWO0lPhDaJ9pv9fMo
10.1007/s10479-015-1880-y,1AC6LuGTZLddkwHqm7kJqV5OENf9E7EnHWROQOvbtvQ
10.1007/s10479-015-1958-6,1R4gjebzRSzcNx9fPuN4uurNZnoEveg__Y_2Gt_4Kq4
10.1007/s10479-015-1935-0,-FbRbHrD06tdWR1D3l8Aegfa7yjXpdfzJ_dIcvIrD70
10.1007/s10479-015-1905-6,4FWM-1OFb2fzCcNVdFyYYPWpFiYhCwjp-Tq9jxAKTPQ
10.1007/s10479-015-1997-z,-6nQ7eWTuAHu78Jg3S7k1txgFiVRaHSq4MIC_b7g6bw
10.1007/s10479-015-2010-6,HxWNFZ9XEVVz_IxKaMvAkl79IhjS6pVXP74y_AUcBUY
10.1007/s10479-015-1913-6,3OlPCW-KPXOzIx0yzQWzOk1ls-KOSdyT9x1r2qETfek
10.1007/s10479-015-1925-2,01fdwNJ9xUdmrp1OnpaiT5q8y4-7bAlkw2nlviyxZG8
10.1007/s10479-015-1951-0,-Gz_C-Dah6Ufeq151Vql7txA5Us0p6BrJ38yyk8Rf14
10.1007/s10479-015-1990-6,07rVmX9LGJ2zzxorqYguPjvN_BcwtBhP38OEhKX80Xc
10.1007/s10479-015-1962-x,1B1VeLB5OA-UcjsR19IUuGFFtK7SL9aTKr3j052c-HY
10.1007/s10479-015-1918-1,8Oic2d50abPVIO_OZ46e04GfLeYAKRhXKUq7MHs6lFU
10.1007/s10479-015-1877-6,H43cS9tHTpnKP9KzaTh6UyBiSG0s5yI-Htio2j7ciPY
10.1007/s10479-015-1932-3,-G7EiTbWaCUjr8ONdxx7JKZhpMTTzhAQeB7uMkdFt9A
10.1007/s10479-014-1727-y,-2Wi8AKH1xx0CMeJ3B1zyj7ULbijJc4uHJjpXmxJCY8
10.1007/s10479-014-1777-1,288lJgEOElFqCgS5fkcs5cMB6dVjEnhI4wPsUBl--U4
10.1007/s10479-014-1550-5,5Lt-TzrYIqmjtIS5TI1x-Cb7O4PpZS4tDsQ6GQuYcIE
10.1007/s10479-014-1779-z,1Q9rR4Ld1Rtw9lTV6GdLoGtGRVt6xl230NRXIBXDgyA
10.1007/s10479-012-1253-8,8o4HySwqR8SRP5fsMKnUkSXKIdNATtJt497edF06pxw
10.1007/s10479-014-1595-5,BG4o-TGSOBQDjCjrS6b5ixru9kKQQLS78pd6KtlcWW4
10.1007/s10479-014-1574-x,2Zxokiw7fm2hoba-V8zINR01RN9s90bFkHzE48-HwyY
10.1007/s10479-014-1656-9,CppDzMYKk-8v0LD2rFmYyjOkL4oOCbEFP47Y34NVEIM
10.1007/s10479-013-1443-z,7I7nIF_ijz-AdPb4yzcpKCTjMDgkmE_p7HQ8B5XzfUw
10.1007/s10479-013-1507-0,3V_HtYWY9a4WsdLYvifcVH9FmA0r2nUqzKmJfPvXCIk
10.1007/s10479-013-1407-3,-kDaLt8cfvNiMm_rXAGWsvbn4sYscyUViwKgCl0lzyw
10.1007/s10479-013-1516-z,A6cg6TrCI69DH_YmFi2-PGUJ1Cp9JzkE419XI_4RjQQ
10.1007/s10479-014-1566-x,3xsaoHAfMSHj4AS5K80WRMyqdNhreEhkIAVUpTLg-Q4
10.1007/s10479-013-1316-5,68C1IX2-V26fE8FholUamRym0jgb8dpo2eLlD34ybds
10.1007/s10479-013-1519-9,Bvb_Z_yq_0cBvMpNKsipsrSQz8PRcGaYsgW9ohhOdZg
10.1007/s10479-013-1389-1,0nK9IFh4tPyZDfB2OwqwPKF0sEgYdulGNr6b8I_DTNU
10.1007/s10479-014-1546-1,CZZsHd3w7ALiJ0R7EiRxRIMksuieC7RnU1yYlpXp0bs
10.1007/s10479-015-1839-z,1FVP6nduLFEsS9Y6avqtIaoJCq1ncJIFIwFuqWb1c1E
10.1007/s10479-014-1623-5,09b4jsosJWhWiqKE1lxpKUmQURMlS33RMHtkT2Vcx3A
10.1007/s10479-015-1841-5,6WQ9YahbwxYjGA_ICxMzTaffUWlEDlf50O2sKZFKloQ
10.1007/s10479-015-1803-y,6pEj9RaPAKsDpR8GYtVkX3fWegVDRJYZtfbXtbJ0lZA
10.1007/s10479-015-1853-1,-Xe3Szs9fX6dZyGBkBq4zyDeGoigQJrb63jJ_N4afaA
10.1007/s10479-014-1753-9,-bdGhgN-HAZNjWn6vbXeP6SJdsLgG-zgmKgSQ6wHWC8
10.1007/s10479-015-1818-4,6OZrChvkfvqKz7BptrsGnzjTGmzFE9duKtHv1yFfZqE
10.1007/s10479-013-1470-9,2YYiXfWyiMZc4v8yOIIAVOi7VG8aDKBUHDxrKmRzvwM
10.1007/s10479-014-1763-7,8-7qKp5a3gkyxQ0tjt3hTSEe-6FB1u-qsem8oDwgH18
10.1007/s10479-015-1846-0,41Sj9MI9T8UOpU4F5Nj8dlbdoVME4Cp4RRYq-E2kpUE
10.1007/s10479-015-1815-7,3P4GP-N0HI18nD_d3lrMbeUFStJA4tVvfarsOW064JE
10.1007/s10479-015-1835-3,1KpO6LXjwqIr7IllGGoaesmAd5e0iJNwC5oIFRuCB1s
10.1007/s10479-015-1816-6,UsM9L1gXgZ_w02vBZv7E0s2dU_yskatIdQ5bwJmmL4Q
10.1007/s10479-015-1802-z,4WIZdKJiMsHJtA11J3mnpq92uq3THdIST2uNy7GLNUU
10.1007/s10479-015-1826-4,-f-I8fzKez8XHZ4L3KgqWFCy0bk20iQH5g3JoT8kux8
10.1007/s10479-014-1745-9,6Zun67wHIfkdb43YhPWh8RReCxMlERs37VgA3epkbHE
10.1007/s10479-014-1528-3,NWKjO2_tQ9C6GTRwDsAUWsbcvlq9AayxM8OzFTCF4rY
10.1007/s10479-012-1136-z,2iXD0uR4dCJjWoT-9DQEkjTKuAxufF6X_imhl-3qOkY
10.1007/s10479-013-1442-0,4iF8NLYK9ji0zD6cadECLlzUM3aZUecN-DWKw9hSCkk
10.1007/s10479-012-1088-3,1IvHmwJBPRmE5XnRQWUQEw9PWVfniWWSkOkUSEmwMq8
10.1007/s10479-012-1152-z,0MzTl1W02yc2jFOoYNjjIRkbmseLiJts3K9VgGYgBdk
10.1007/s10479-012-1095-4,0tYlJKlhZft6imTJleyoX1YRnzrpjq5NwQaUOEbK7QY
10.1007/s10479-012-1094-5,0CS4_ZbSbMQguXz-h81YUqdLlgtzNCjqph-O5LodJT8
10.1007/s10479-013-1313-8,04rU52Jju_u0CaplVIkS0XFGWHQyVZXUcZZMiA3DGpU
10.1007/s10479-013-1367-7,4A2-DCu1qWVdtQH6txdYKmPKkx7kSBZzgDhss9NSnec
10.1007/s10479-013-1434-0,CDXxlNgl7c7kZry1BSPwJr2SRaUqhhM6L5i-D6JZ4pM
10.1007/s10479-014-1609-3,0TgDPySMoNgn-0jr0mB_T-VneWmYeugrDd2uqlYT54g
10.1007/s10479-013-1420-6,7JR5P9noBUfvfbPOKPoOfVvGPqLu9FA1Qm3u8ODUW8k
10.1007/s10479-014-1659-6,6mW5u5DFBumUNuw5GfS_XiFtAXIrI6l7WFxQFRzaa6U
10.1007/s10479-014-1698-z,2QVwRu6SghiobDL3lIBTu81lbvaR4jBRn9cOTYPxFio
10.1007/s10479-014-1681-8,-TCWX-5WLwlJ7iMFeXW6Uoej1Mo0AeOkej-MGrtmGsg
10.1007/s10479-014-1691-6,-xrmLB2cXJGgzYp5ckQmhDa20NoVlV0GHO1REBQKTSs
10.1007/s10479-014-1672-9,4DirJrmCQhJwtjQbvN7EWXSjl3JYyd0pUmJ1LoCJMSs
10.1007/s10479-014-1739-7,0OrmvscgmfL7SosU3x-ZUjFkhfaQTSKJ517AxZYS8MI
10.1007/s10479-014-1706-3,3SmUY1xnsL6H7_8Vhd8gEAzGdPDZT5xgdBQcNd3CaaM
10.1007/s10479-014-1701-8,0jGkpCDOaZRz0c_6dxE-ndU4uJbHQN0m3_5iMSQMck4
10.1007/s10479-014-1692-5,0X_xc_YagBTeV0clC-vjmpMtYGwzvPn61EKs3G6zAhQ
10.1007/s10479-014-1728-x,7YB9V16p_n4tpVBoRkYauWUzysHUtweal-MW7I6KJjQ
10.1007/s10479-014-1738-8,2I0klUV56p8_ZGLmvwkvzwheKKVaxRyefM8_atcOGWY
10.1007/s10479-014-1714-3,BIHFtd-VOgfoXoRTEXcsv-d7WciiVnBvs4T6HAb5JIA
10.1007/s10479-014-1654-y,0UwbVoQo6TzJdhQXAHXIYY9LXM0rqhVTlLrOQL8Zywk
10.1007/s10479-014-1735-y,5CBroS2217x2wuWccdQdU_iDMRZ5FMpKSvPSsjITTZM
10.1007/s10479-014-1650-2,-lwmknFHnll0jD7BR6xFTy2uYFBnqrsPTFf8cOqTHOo
10.1007/s10479-014-1666-7,091kaYu0HAE4GQYYxmJkOcqxTghjnD0Ca1AUSyOltP8
10.1007/s10479-012-1251-x,-opcI4g4-u5F1w6HCsjLGSVh9hmt46zhC0QKfv-7IQY
10.1007/s10479-013-1377-5,HBdAvQEnbU7cnm6ZnV3kRgAu5052VaOJzgBbCjMuaco
10.1007/s10479-013-1404-6,AQhHpktge2ggI0hp0dSfDTMcJuMbkNJilEJx0XETFgs
10.1007/s10479-013-1401-9,3oswL0uMv3JukoVaT_Wd9KOVWGDkJP-YtxySoObky-U
10.1007/s10479-013-1426-0,1c8wS35c1vMhNCGyBAXG2_H3t_ALwq4Fopff_mLNMzo
10.1080/0305215X.2014.971777,F6PbCBq-zzQI2Wd-1kzxsa7FTvEfvgB42mgXz42Jqic
10.1080/0305215X.2014.979814,1kRgzsRIAxJlKZsWXLPyzHhuLFFqWFv43UJyk5CD9rI
10.1080/0305215X.2014.971778,0UI6CjkbUv9_k7lLAIbQYP113w1L3m41RNXLKvLH__M
10.1080/0305215X.2014.977274,0fOks8X0W13SddGyyrsTXhsweQ3rO2nSX6ej0fpX_Mg
10.1080/0305215X.2014.979816,7QYIERx7CA7nHWSvAdDCFNyy4RD3-7QEsx2TNd6sGiw
10.1080/0305215X.2014.979813,A69oaLPk-9RxSQWLwyr817iyVyo_0f61If_Jux0b1mU
10.1080/0305215X.2014.982634,0JbWTT7jN5tydqJ3yCtNWXb5gnTCqWkVATafg4rXSbA
10.1080/0305215X.2014.963068,-2PXP9mdnGwYvbeBUQvpPCvpBbmkxIknoVuvZ1n5Mb4
10.1080/0305215X.2014.963069,30zKROPd6LbH4Ae76jliwZGqrJMhPCQEXV2Y3yKDnDo
10.1080/0305215X.2014.963070,6bCejEWEHlirvislrVH5b1MNhNRVp3LdmplX_g8Yn-I
10.1080/0305215X.2014.969724,-RY0d7K_8_yXJ3bruM77NwJkU64TAizHjJYVURujpMM
10.1080/0305215X.2014.969725,0oz9hfs9jtlNtDtWe4JtiFrl7cfO1UWaCCL5DNF20wQ
10.1080/0305215X.2014.969727,7UKcfWMG8atFu481wHmxLmAbKk_er5QDSQPXJFrCKJU
10.1080/0305215X.2014.971776,12esBdKex1brCkVJX81jCe6jilYY4XJZctpLMxgsGAk
10.1080/0305215X.2014.958732,-3CeXZ-Ufw1bkvevZW1-DOUUUXmnQa6DhiZ8idLn_c4
10.1080/0305215X.2014.954565,209ZjOKEaUoBGADWlr9_EFhKhD7FOCJ0LYj3KjU9FhQ
10.1080/0305215X.2014.954566,-oPcL4iOgECrcqtlHxzTEA2gaUj5DFTpXlWAxpwHgGc
10.1080/0305215X.2014.954567,-pH_HTAVORA807jhR5D1NofNetg-4_RUMq-u1dR6heI
10.1080/0305215X.2014.958733,05_0Eb0-xbV7_CWfJxTEuttCGDq6yPLSRrGm00LxYr0
10.1080/0305215X.2014.958734,77nfTqHwHK9eHmIrid3C7ChJi6uWk06WG0rnc5F6ir8
10.1080/0305215X.2014.963071,0nj59SVPaic_t-VCE1Jg5vcihkgHuoSgXs72K9NFSGw
10.1080/0305215X.2014.969726,5nvlkjunInzWMUIuYUY_0o93FS02OuSxV4J6NZ4FOHU
10.1080/0305215X.2014.941288,3QbeHSx0FBUrUAkPLZZWK1HkGecKGQiPvRnRRai5QKs
10.1080/0305215X.2014.941289,0kPWogOGZpqUU-B-Lh7Jj7XfcPPFgo6nDG-P7dtWhso
