DI,SO,TC,TC_count,TC_sum
10.1007/s10479-015-1981-7,ANNALS OF OPERATIONS RESEARCH,4,82,706
10.1007/s10479-015-1987-1,ANNALS OF OPERATIONS RESEARCH,26,82,706
10.1007/s10479-015-1880-y,ANNALS OF OPERATIONS RESEARCH,3,82,706
10.1007/s10479-015-1958-6,ANNALS OF OPERATIONS RESEARCH,0,82,706
10.1007/s10479-015-1935-0,ANNALS OF OPERATIONS RESEARCH,3,82,706
10.1007/s10479-015-1905-6,ANNALS OF OPERATIONS RESEARCH,1,82,706
10.1007/s10479-015-1997-z,ANNALS OF OPERATIONS RESEARCH,17,82,706
10.1007/s10479-015-2010-6,ANNALS OF OPERATIONS RESEARCH,8,82,706
10.1007/s10479-015-1913-6,ANNALS OF OPERATIONS RESEARCH,1,82,706
10.1007/s10479-015-1925-2,ANNALS OF OPERATIONS RESEARCH,3,82,706
10.1007/s10479-015-1951-0,ANNALS OF OPERATIONS RESEARCH,2,82,706
10.1007/s10479-015-1990-6,ANNALS OF OPERATIONS RESEARCH,7,82,706
10.1007/s10479-015-1962-x,ANNALS OF OPERATIONS RESEARCH,6,82,706
10.1007/s10479-015-1918-1,ANNALS OF OPERATIONS RESEARCH,8,82,706
10.1007/s10479-015-1877-6,ANNALS OF OPERATIONS RESEARCH,0,82,706
10.1007/s10479-015-1932-3,ANNALS OF OPERATIONS RESEARCH,5,82,706
10.1007/s10479-014-1727-y,ANNALS OF OPERATIONS RESEARCH,4,82,706
10.1007/s10479-014-1777-1,ANNALS OF OPERATIONS RESEARCH,5,82,706
10.1007/s10479-014-1550-5,ANNALS OF OPERATIONS RESEARCH,9,82,706
10.1007/s10479-014-1779-z,ANNALS OF OPERATIONS RESEARCH,5,82,706
10.1007/s10479-012-1253-8,ANNALS OF OPERATIONS RESEARCH,21,82,706
10.1007/s10479-014-1595-5,ANNALS OF OPERATIONS RESEARCH,39,82,706
10.1007/s10479-014-1574-x,ANNALS OF OPERATIONS RESEARCH,2,82,706
10.1007/s10479-014-1656-9,ANNALS OF OPERATIONS RESEARCH,1,82,706
