SO,TC_count,TC_sum
ANNALS OF OPERATIONS RESEARCH,82,706
ENGINEERING OPTIMIZATION,94,687
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,271,4048
EXPERT SYSTEMS WITH APPLICATIONS,795,15025
IIE TRANSACTIONS,89,643
INFOR,7,8
INFORMS JOURNAL ON COMPUTING,50,359
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,98,813
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,60,323
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,371,7511
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,78,418
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,445,5308
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,43,191
INTERFACES,56,124
JOURNAL OF GLOBAL OPTIMIZATION,127,804
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,81,313
JOURNAL OF MANUFACTURING SYSTEMS,123,1779
JOURNAL OF OPERATIONS MANAGEMENT,53,1409
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,181,891
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,63,223
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,219,1309
JOURNAL OF QUALITY TECHNOLOGY,35,270
JOURNAL OF SCHEDULING,3,14
M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,42,374
MANAGEMENT SCIENCE,174,2590
MATHEMATICAL METHODS OF OPERATIONS RESEARCH,32,86
MATHEMATICS OF OPERATIONS RESEARCH,52,271
MATHEMATICAL PROGRAMMING,137,1545
MILITARY OPERATIONS RESEARCH,19,13
NAVAL RESEARCH LOGISTICS,47,201
COMPUTERS & OPERATIONS RESEARCH,214,3376
NETWORKS & SPATIAL ECONOMICS,48,474
NETWORKS,59,236
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,118,2653
OPERATIONS RESEARCH,101,0
OPERATIONAL RESEARCH,24,0
OPERATIONS RESEARCH LETTERS,126,391
OPTIMAL CONTROL APPLICATIONS & METHODS,54,441
OPTIMIZATION AND ENGINEERING,32,148
OPTIMIZATION LETTERS,116,437
OPTIMIZATION METHODS & SOFTWARE,63,347
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,94,469
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,35,100
PRODUCTION AND OPERATIONS MANAGEMENT,138,1289
PRODUCTION PLANNING & CONTROL,90,922
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,144,1016
QUEUEING SYSTEMS,42,151
RAIRO-OPERATIONS RESEARCH,48,97
RELIABILITY ENGINEERING & SYSTEM SAFETY,272,4413
SAFETY SCIENCE,261,3411
SYSTEMS & CONTROL LETTERS,124,1658
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,29,166
TOP,50,126
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,180,3153
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,140,2047
TRANSPORTATION SCIENCE,63,847
DECISION SUPPORT SYSTEMS,116,1905
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,25,172
DISCRETE OPTIMIZATION,31,53
