PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Derech, VD				Derech, V. D.			CLASSIFICATION OF FINITE COMMUTATIVE SEMIGROUPS FOR WHICH THE INVERSE MONOID OF LOCAL AUTOMORPHISMS IS A Delta-SEMIGROUP	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							CONGRUENCES FORM; CHAIN	A semigroup S is called a Delta-semigroup if the lattice of its congruences forms a chain relative to the inclusion. A local automorphism of the semigroup S is called an isomorphism between its two subsemigroups. The set of all local automorphisms of the semigroup S relative to the ordinary operation of composition of binary relations forms an inverse monoid of local automorphisms. We present a classification of finite commutative semigroups for which the inverse monoid of local automorphisms is a Delta-semigroup.	[Derech, V. D.] Vinnytsya Natl Tech Univ, Vinnytsya, Ukraine	Derech, VD (reprint author), Vinnytsya Natl Tech Univ, Vinnytsya, Ukraine.			Derech, Volodymyr/0000-0001-7422-7572				27	1	1	0	2	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					981	988		10.1007/s11253-015-1130-0				8	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600001					2019-08-07	
J	Knyagina, VN; Monakhov, VS				Knyagina, V. N.; Monakhov, V. S.			ON THE DERIVED LENGTH OF A FINITE GROUP WITH COMPLEMENTED SUBGROUPS OF ORDER p(2)	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								It is shown that a finite group with complemented subgroups of order p(2) is soluble for all p and its derived length does not exceed 4.	[Knyagina, V. N.] Minist Emergency Situat Belarus, State Educ Inst, Gomel Engn Inst, Gomel, BELARUS; [Monakhov, V. S.] F Skorina Gomel State Univ, Gomel, BELARUS	Knyagina, VN (reprint author), Minist Emergency Situat Belarus, State Educ Inst, Gomel Engn Inst, Gomel, BELARUS.							12	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					989	997		10.1007/s11253-015-1131-z				9	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600002					2019-08-07	
J	Pogorui, AA; Rodriguez-Dagnino, RM; Kolomiets, T				Pogorui, A. A.; Rodriguez-Dagnino, R. M.; Kolomiets, T.			THE FIRST PASSAGE TIME AND ESTIMATION OF THE NUMBER OF LEVEL-CROSSINGS FOR A TELEGRAPH PROCESS	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								It is a well-known result that almost all sample paths of a Brownian motion or Wiener process {W(t)} have infinitely many zero-crossings in the interval (0, delta) for delta > 0. Under the Kac condition, the telegraph process weakly converges to the Wiener process. We estimate the number of intersections of a level or the number of level-crossings for the telegraph process. Passing to the limit under the Kac condition, we also obtain an estimate of the level-crossings for the Wiener process.	[Pogorui, A. A.; Kolomiets, T.] Zhytomyr State Univ, Zhytomyr, Ukraine; [Rodriguez-Dagnino, R. M.] Tecnol Monterrey, Elect & Comp Engn, Monterrey, Mexico	Pogorui, AA (reprint author), Zhytomyr State Univ, Zhytomyr, Ukraine.			Rodriguez-Dagnino, Ramon/0000-0003-2199-115X; Pogorui, Anatoliy/0000-0002-1563-8934	ITESM	We thank ITESM for the support provided in the development of this work.		10	2	2	0	1	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					998	1007		10.1007/s11253-015-1132-y				10	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600003					2019-08-07	
J	Samoilenko, AM; Parasyuk, IO; Repeta, BV				Samoilenko, A. M.; Parasyuk, I. O.; Repeta, B. V.			DYNAMICAL BIFURCATION OF MULTIFREQUENCY OSCILLATIONS IN A FAST-SLOW SYSTEM	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							PERTURBATION-THEORY; MANIFOLDS; TORI	We study a dynamical analog of bifurcations of invariant tori for a system of interconnected fast phase variables and slowly varying parameters. It is shown that, in this system, due to the slow evolution of the parameters, we observe the appearance of transient processes (from the damping process to multifrequency oscillations) asymptotically close to motions on the invariant torus.	[Samoilenko, A. M.] Natl Acad Sci Ukraine, Inst Math, Kiev, Ukraine; [Parasyuk, I. O.; Repeta, B. V.] Shevchenko Kyiv Natl Univ, Kiev, Ukraine	Samoilenko, AM (reprint author), Natl Acad Sci Ukraine, Inst Math, Kiev, Ukraine.			Parasyuk, Igor/0000-0002-4392-5463				29	1	3	0	3	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1008	1037		10.1007/s11253-015-1133-x				30	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600004					2019-08-07	
J	Serdyuk, AS; Stepanyuk, TA				Serdyuk, A. S.; Stepanyuk, T. A.			ORDER ESTIMATES FOR THE BEST ORTHOGONAL TRIGONOMETRIC APPROXIMATIONS OF THE CLASSES OF CONVOLUTIONS OF PERIODIC FUNCTIONS OF LOW SMOOTHNESS	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We establish order estimates for the best uniform orthogonal trigonometric approximations on the classes of 2 pi-periodic functions whose (psi, beta)-derivatives belong to unit balls in the spaces L-p, 1 <= p < infinity, in the case where the sequence psi(k) is such that the product psi(n)n(1/p) may tend to zero slower than any power function and Sigma(infinity)(k=1) psi(p)' (k) k(p'-2) < infinity for 1 < p < infinity, 1/p + 1/p' = 1, or Sigma(infinity)(k=1) psi(k) < infinity for p = 1. Similar estimates are also established in the L-s-metrics, 1 < s <= infinity, for the classes of summable (psi, beta)-differentiable functions such that parallel to f(beta)(psi)parallel to(1) <= 1.	[Serdyuk, A. S.] Ukrainian Natl Acad Sci, Inst Math, Kiev, Ukraine; [Stepanyuk, T. A.] L Ukrainka East European Natl Univ, Lutsk, Ukraine	Serdyuk, AS (reprint author), Ukrainian Natl Acad Sci, Inst Math, Kiev, Ukraine.							17	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1038	1061		10.1007/s11253-015-1134-9				24	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600005					2019-08-07	
J	Sirik, SV				Sirik, S. V.			ESTIMATION OF THE ACCURACY OF FINITE-ELEMENT PETROV-GALERKIN METHOD IN INTEGRATING THE ONE-DIMENSIONAL STATIONARY CONVECTION-DIFFUSION-REACTION EQUATION	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							NUMERICAL EVALUATION	The accuracy and convergence of the numerical solutions of a stationary one-dimensional linear convection-diffusion-reaction equation (with Dirichlet boundary conditions) by the Petrov-Galerkin finite-element method with piecewise-linear basis functions and piecewise-quadratic weighting functions are analyzed and the accuracy estimates of the method are obtained in certain norms depending on the choice of the collection of stabilization parameters of weight functions.	[Sirik, S. V.] Ukrainian Natl Tech Univ, Kiev Polytech Inst, Kiev, Ukraine	Sirik, SV (reprint author), Ukrainian Natl Tech Univ, Kiev Polytech Inst, Kiev, Ukraine.		Siryk, Sergii/I-3264-2018	Siryk, Sergii/0000-0002-5032-8448				37	1	1	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1062	1090		10.1007/s11253-015-1135-8				29	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600006					2019-08-07	
J	Teimurov, RA				Teimurov, R. A.			OPTIMAL CONTROL OVER MOVING SOURCES IN THE HEAT EQUATION	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We study the problem of optimal control over the processes described by the heat equation and a system of ordinary differential equations. For the problem of optimal control, we prove the existence and uniqueness of solutions, establish sufficient conditions for the Frechet differentiability of the purpose functional, deduce the expression for its gradient, and obtain necessary conditions of optimality in the form of an integral maximum principle.	[Teimurov, R. A.] Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan	Teimurov, RA (reprint author), Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan.				Science Foundation of State Oil Company of the Azerbaijan Republic (SOCAR)	The present work was supported by the Grant of the Science Foundation of State Oil Company of the Azerbaijan Republic (SOCAR) for 2014.		19	0	0	0	3	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1091	1102		10.1007/s11253-015-1136-7				12	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600007					2019-08-07	
J	Trokhimchuk, YY				Trokhimchuk, Yu. Yu.			TWO THEOREMS OF COMPLEX ANALYSIS	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We prove two fundamental theorems of multidimensional complex analysis by the methods of this analysis without using the theory of subharmonic functions. As a single violation, we can mention the use of Green's formula.	[Trokhimchuk, Yu. Yu.] Ukrainian Natl Acad Sci, Inst Math, Kiev, Ukraine	Trokhimchuk, YY (reprint author), Ukrainian Natl Acad Sci, Inst Math, Kiev, Ukraine.							8	0	0	0	1	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1103	1110		10.1007/s11253-015-1137-6				8	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600008					2019-08-07	
J	Phuong, HT; Thin, NV				Phuong, H. T.; Thin, N. V.			ON FUNDAMENTAL THEOREMS FOR HOLOMORPHIC CURVES ON THE ANNULI	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We prove some fundamental theorems for holomorphic curves on the annuli crossing a finite set of fixed hyperplanes in the general position in P-n (C) with ramification.	[Phuong, H. T.; Thin, N. V.] Thai Nguyen Univ Educ, Thai Nguyen City, Vietnam	Phuong, HT (reprint author), Thai Nguyen Univ Educ, Thai Nguyen City, Vietnam.			Thin, Nguyen Van/0000-0001-6585-0055	Vietnam National Foundation for Science and Technology Development (NAFOSTED) [101.04-2014.41]	The present research was supported by the Vietnam National Foundation for Science and Technology Development (NAFOSTED) under the Grant No. 101.04-2014.41.		11	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1111	1125		10.1007/s11253-015-1138-5				15	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600009					2019-08-07	
J	Faiziev, VA; Sahoo, PK				Faiziev, V. A.; Sahoo, P. K.			ON STABILITY OF THE CAUCHY EQUATION ON SOLVABLE GROUPS	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								The notion of (psi,gamma)-stability was introduced in [V. A. Faiziev, Th. M. Rassias, and P. K. Sahoo, Trans. Amer. Math. Soc., 354, 4455 (2002)]. It was shown that the Cauchy equation f(xy) = f(x) + f(y) is (psi,gamma)-stable both on any Abelian group and on any meta-Abelian group. In [V. A. Faiziev and P. K. Sahoo, Publ. Math. Debrecen, 75, 6 (2009)], it was proved that the Cauchy equation is (psi,gamma)-stable on step-two solvable groups and step-three nilpotent groups. In the present paper, we prove a more general result and show that the Cauchy equation is (psi,gamma)-stable on solvable groups.	[Faiziev, V. A.] Tver State Agr Acad, Tver, Russia; [Sahoo, P. K.] Univ Louisville, Louisville, KY 40292 USA	Faiziev, VA (reprint author), Tver State Agr Acad, Tver, Russia.				IRIG grant from the Office of the VP for Research; A&S grant from the College of Arts and Sciences, University of Louisville	The present paper was partially supported by an IRIG grant from the Office of the VP for Research, and an A&S grant from the College of Arts and Sciences, University of Louisville.		11	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	DEC	2015	67	7					1126	1132		10.1007/s11253-015-1140-y				7	Mathematics, Applied; Mathematics	Mathematics	CZ0YN	WOS:000366832600010					2019-08-07	
